mon day year open high low close volume adjclose
  1  4 1999    42.130    42.250    40.000    41.250  34049200    10.310
  1  5 1999    41.940    43.940    41.500    43.310  50362000    10.830
  1  6 1999    44.130    44.130    41.000    41.750  48165200    10.440
  1  7 1999    42.250    45.060    42.130    45.000  51056800    11.250
  1  8 1999    46.560    46.880    44.000    45.000  24246400    11.250
  1 11 1999    45.750    46.060    44.880    45.880  20054400    11.470
  1 12 1999    46.310    46.630    44.130    46.130  29330000    11.530
  1 13 1999    42.880    47.310    42.250    46.500  37434400    11.620
  1 14 1999    45.500    46.000    41.060    41.380  61570000    10.350
  1 15 1999    41.810    42.130    40.000    41.310  35933600    10.330
  1 19 1999    41.940    42.310    40.380    40.880  19116400    10.220
  1 20 1999    41.060    42.000    40.500    40.560  27806800    10.140
  1 21 1999    40.440    40.560    37.500    38.810  21449200     9.700
  1 22 1999    37.690    39.500    37.060    38.750  12365200     9.690
  1 25 1999    39.250    39.560    38.810    39.380  13763200     9.850
  1 26 1999    39.940    40.880    39.630    40.500  20002400    10.120
  1 27 1999    41.000    41.380    39.940    40.130  13053200    10.030
  1 28 1999    40.880    41.250    40.310    40.880  12015600    10.220
  1 29 1999    41.190    41.560    40.000    41.190   8684400    10.300
  2  1 1999    41.690    41.940    40.310    40.940   9962000    10.230
  2  2 1999    40.380    40.750    39.000    39.190  10975600     9.800
  2  3 1999    39.000    40.560    38.750    40.190  12108000    10.050
  2  4 1999    40.190    40.250    37.750    37.880  16565600     9.470
  2  5 1999    38.250    38.380    35.500    36.310  27778000     9.080
  2  8 1999    36.690    37.940    36.250    37.750  16723600     9.440
  2  9 1999    37.940    39.060    37.060    37.190  25042000     9.300
  2 10 1999    36.880    38.690    36.000    38.310  20135200     9.580
  2 11 1999    38.750    39.750    38.560    39.630  20200000     9.910
  2 12 1999    39.130    39.130    37.000    37.690  15339200     9.420
  2 16 1999    38.880    38.880    37.880    38.310  10723600     9.580
  2 17 1999    38.130    38.690    36.940    37.000  10581200     9.250
  2 18 1999    37.560    37.880    35.560    36.000  17876400     9.000
  2 19 1999    36.250    37.690    36.190    37.190  12938800     9.300
  2 22 1999    37.380    38.880    37.250    38.440  10682000     9.610
  2 23 1999    38.560    39.560    37.940    38.440  11521200     9.610
  2 24 1999    38.810    39.000    37.380    37.440   7620000     9.360
  2 25 1999    37.310    37.690    36.500    36.940   9455600     9.230
  2 26 1999    36.500    37.000    34.500    34.810  23847600     8.700
  3  1 1999    34.810    34.810    33.630    33.750  17435200     8.440
  3  2 1999    34.130    35.310    33.750    34.630  24414400     8.660
  3  3 1999    34.750    35.130    33.500    34.190  10497600     8.550
  3  4 1999    34.500    34.500    32.380    33.440  13137600     8.360
  3  5 1999    34.310    34.310    32.380    33.190  16735600     8.300
  3  8 1999    33.250    34.690    33.190    34.380  19682000     8.600
  3  9 1999    34.310    34.380    33.500    34.130  11427600     8.530
  3 10 1999    34.190    34.190    32.440    32.560  19526800     8.140
  3 11 1999    32.250    33.880    32.000    32.190  16936800     8.050
  3 12 1999    32.310    33.500    32.310    33.190   9700000     8.300
  3 15 1999    33.310    35.000    33.250    34.060  12586800     8.520
  3 16 1999    35.000    35.560    34.940    35.500  14302000     8.880
  3 17 1999    35.940    36.060    33.940    34.060  13084400     8.520
  3 18 1999    34.380    35.630    34.250    35.500   8126800     8.880
  3 19 1999    35.940    36.000    32.880    33.500  19161200     8.380
  3 22 1999    34.000    35.190    32.940    35.060  21200800     8.770
  3 23 1999    34.440    34.440    32.750    33.000  14842000     8.250
  3 24 1999    33.250    33.750    32.500    33.690  14297600     8.420
  3 25 1999    34.380    34.880    33.380    33.810  14286800     8.450
  3 26 1999    33.750    33.810    33.000    33.250   9080000     8.310
  3 29 1999    33.500    35.440    33.440    35.380  20337600     8.850
  3 30 1999    35.000    36.380    35.000    35.880  19806800     8.970
  3 31 1999    36.380    37.130    35.880    35.940  15086400     8.980
  4  1 1999    36.060    36.690    35.750    36.060   9381200     9.020
  4  5 1999    36.000    37.880    36.000    37.060  16474400     9.270
  4  6 1999    36.810    38.310    36.810    38.000  22455200     9.500
  4  7 1999    38.060    38.250    36.380    37.130  14723200     9.280
  4  8 1999    36.880    37.060    36.000    36.880  10600800     9.220
  4  9 1999    36.250    37.250    35.940    36.750   9608000     9.190
  4 12 1999    35.000    36.880    34.880    36.250  14145600     9.060
  4 13 1999    36.310    36.810    34.500    34.630  14732400     8.660
  4 14 1999    35.250    37.060    35.000    35.530  24323600     8.880
  4 15 1999    35.380    36.190    34.310    35.750  61960000     8.940
  4 16 1999    35.880    36.060    35.250    35.440  17945600     8.860
  4 19 1999    35.690    36.000    33.500    33.880  32923200     8.470
  4 20 1999    33.880    34.750    33.500    34.060  18725600     8.520
  4 21 1999    34.000    34.380    33.500    34.380  12566800     8.600
  4 22 1999    35.060    36.630    35.060    36.380  26454400     9.100
  4 23 1999    36.250    39.440    36.250    39.190  37402400     9.800
  4 26 1999    39.500    41.250    39.250    40.940  33152000    10.230
  4 27 1999    43.000    45.810    43.000    45.750  75225200    11.440
  4 28 1999    44.630    45.690    43.630    44.060  34122000    11.020
  4 29 1999    43.250    44.380    41.780    43.000  28206400    10.750
  4 30 1999    44.000    47.130    44.000    46.000  52596400    11.500
  5  3 1999    46.060    50.000    45.750    49.560  52535600    12.390
  5  4 1999    48.250    48.630    46.190    46.500  28980000    11.620
  5  5 1999    46.310    47.000    44.630    47.000  20694400    11.750
  5  6 1999    46.560    46.880    44.000    44.500  15486400    11.120
  5  7 1999    44.630    45.880    42.750    45.880  15528800    11.470
  5 10 1999    46.750    46.940    44.630    45.250  14055600    11.310
  5 11 1999    44.880    46.190    43.560    44.750  16388800    11.190
  5 12 1999    44.880    46.500    44.130    46.500  14129200    11.620
  5 13 1999    46.440    46.810    45.500    46.190  10573600    11.550
  5 14 1999    45.130    45.810    44.380    44.380   8102000    11.100
  5 17 1999    43.750    44.690    43.000    44.380   7531200    11.100
  5 18 1999    44.810    46.000    44.380    45.250  14954400    11.310
  5 19 1999    45.500    45.750    43.500    45.190  10660000    11.300
  5 20 1999    45.440    45.750    42.500    42.500  14940000    10.620
  5 21 1999    43.000    44.310    42.560    43.940  16555200    10.980
  5 24 1999    43.630    44.310    41.880    41.940   9340800    10.480
  5 25 1999    41.560    42.440    40.940    41.500  13095200    10.380
  5 26 1999    41.750    44.380    41.250    44.060  15642000    11.020
  5 27 1999    43.190    43.750    42.690    43.500  12042400    10.880
  5 28 1999    43.310    44.310    43.130    44.060   7196400    11.020
