Date           CSCO
20070103       0.014636
20070104       0.026325
20070105       0.000351
20070108       0.005620
20070109      -0.005589
20070110       0.007376
20070111       0.000349
20070112       0.008017
20070116      -0.030429
20070117      -0.037803
20070118      -0.019644
20070119       0.009452
20070122      -0.006367
20070123      -0.018470
20070124       0.032642
20070125      -0.024916
20070126       0.004958
20070129      -0.005313
20070130       0.001526
20070131       0.014095
20070201      -0.001127
20070202       0.020684
20070205       0.013633
20070206      -0.008361
20070207       0.029692
20070208       0.001780
20070209      -0.015281
20070212      -0.006135
20070213      -0.012709
20070214       0.009930
20070215       0.003642
20070216      -0.001451
20070220       0.005087
20070221      -0.010123
20070222       0.000730
20070223       0.004015
20070226      -0.009815
20070227      -0.056167
20070228       0.008946
20070301      -0.003470
20070302      -0.021277
20070305       0.006324
20070306       0.019639
20070307      -0.003467
20070308       0.010823
20070309      -0.002677
20070312       0.003451
20070313      -0.025602
20070314       0.013726
20070315      -0.001547
20070316       0.006974
20070319       0.011928
20070320       0.001521
20070321       0.017084
20070322      -0.015677
20070323      -0.006826
20070326       0.005727
20070327      -0.015566
20070328      -0.008870
20070329      -0.010506
20070330       0.003932
20070402      -0.005092
20070403       0.017717
20070404       0.009671
20070405      -0.001533
20070409       0.005372
20070410      -0.008015
20070411      -0.007695
20070412       0.006979
20070413       0.027339
20070416      -0.002249
20070417       0.008264
20070418       0.001118
20070419      -0.007071
20070420       0.011619
20070423      -0.015191
20070424      -0.009406
20070425       0.017087
20070426      -0.008585
20070427       0.018079
20070430      -0.010729
20070501       0.004488
20070502       0.030156
20070503       0.001084
20070504       0.007581
20070507      -0.003583
20070508       0.019777
20070509      -0.065233
20070510      -0.008299
20070511       0.012933
20070514      -0.012767
20070515      -0.006086
20070516       0.013395
20070517      -0.007553
20070518      -0.002664
20070521       0.007249
20070522      -0.001136
20070523      -0.015169
20070524      -0.021948
20070525       0.004724
20070529       0.014890
20070530       0.018919
20070531       0.020083
20070601      -0.002229
20070604       0.005584
20070605       0.007034
20070606      -0.022059
20070607      -0.028195
20070608       0.024371
20070611      -0.006042
20070612      -0.009878
20070613       0.018035
20070614       0.011308
20070615       0.020872
20070618      -0.006572
20070619       0.003308
20070620      -0.003663
20070621       0.004412
20070622      -0.014641
20070625       0.004082
20070626       0.004443
20070627       0.004420
20070628       0.021269
20070629       0.000000
20070702       0.001436
20070703       0.007530
20070705       0.009609
20070706       0.003525
20070709      -0.000706
20070710      -0.004917
20070711       0.015895
20070712       0.036161
20070713       0.003020
20070716       0.000000
20070717      -0.005353
20070718      -0.009754
20070719       0.016984
20070720      -0.011690
20070723       0.022643
20070724      -0.016523
20070725       0.005040
20070726      -0.008024
20070727      -0.023596
20070730       0.017953
20070731      -0.019668
20070801       0.029748
20070802       0.012093
20070803      -0.022237
20070806       0.001358
20070807       0.006441
20070808       0.067026
20070809      -0.008838
20070810      -0.000315
20070813      -0.017843
20070814      -0.018488
20070815      -0.011236
20070816      -0.020722
20070817       0.023550
20070820      -0.007669
20070821       0.011425
20070822       0.005316
20070823       0.000330
20070824       0.015197
20070827       0.012040
20070828      -0.022187
20070829       0.019402
20070830       0.013871
20070831       0.015590
20070904       0.012531
20070905      -0.003094
20070906      -0.011794
20070907      -0.010050
20070910       0.006980
20070911       0.013233
20070912      -0.011819
20070913      -0.008493
20070914       0.001587
20070917      -0.001901
20070918       0.017143
20070919       0.001561
20070920       0.003739
20070921       0.002794
20070924      -0.013003
20070925       0.017566
20070926       0.016958
20070927       0.007269
20070928      -0.003009
20071001      -0.004223
20071002       0.000606
20071003      -0.016961
20071004      -0.009248
20071005       0.015521
20071008       0.001868
20071009       0.011312
20071010       0.005744
20071011      -0.014127
20071012       0.003662
20071015      -0.003952
20071016      -0.015249
20071017       0.005265
20071018       0.006778
20071019      -0.036108
20071022      -0.004127
20071023       0.005419
20071024      -0.008878
20071025      -0.002559
20071026       0.023092
20071029       0.015987
20071030       0.006171
20071031       0.013799
20071101      -0.026618
20071102       0.010255
20071105       0.017533
20071106       0.030230
20071107      -0.039023
20071108      -0.095270
20071109      -0.035437
20071112       0.018544
20071113       0.035383
20071114      -0.014267
20071115      -0.013800
20071116       0.021843
20071119      -0.017034
20071120      -0.013252
20071121      -0.027204
20071123       0.015575
20071126      -0.041481
20071127      -0.000360
20071128       0.020371
20071129       0.003565
20071130      -0.004618
20071203      -0.016060
20071204      -0.022126
20071205       0.019288
20071206       0.011281
20071207      -0.012235
20071210       0.007650
20071211       0.013015
20071212       0.027837
20071213       0.009028
20071214      -0.014109
20071217      -0.024433
20071218       0.007156
20071219       0.001421
20071220       0.003193
20071221       0.011315
20071224       0.004196
20071226      -0.011838
20071227      -0.020789
20071228      -0.008276
20071231      -0.017783
