Mon Day Year HK    JP
1 4 2006 15200.06 16361.54
1 5 2006 15271.13 16425.37
1 6 2006 15344.44 16428.21
1 10 2006 15569.91 16124.35
1 11 2006 15650.88 16363.59
1 12 2006 15719.37 16445.19
1 13 2006 15787.97 16454.95
1 16 2006 15777.72 16268.03
1 17 2006 15576.2 15805.95
1 18 2006 15481.21 15341.18
1 19 2006 15670.42 15696.28
1 20 2006 15662.08 15696.69
1 23 2006 15464.77 15360.65
1 24 2006 15530.57 15648.89
1 25 2006 15520.39 15651
1 26 2006 15520.07 15891.02
1 27 2006 15753.14 16460.68
2 1 2006 15742.3 16480.09
2 2 2006 15691.69 16710.55
2 3 2006 15429.73 16659.64
2 6 2006 15548.06 16747.76
2 7 2006 15517.01 16720.99
2 8 2006 15373.44 16272.68
2 9 2006 15413.43 16439.67
2 10 2006 15425.95 16257.83
2 13 2006 15312.09 15877.66
2 14 2006 15420.32 16184.87
2 15 2006 15423.26 15932.83
2 16 2006 15450.88 16043.67
2 17 2006 15475.69 15713.45
2 20 2006 15598.67 15437.93
2 21 2006 15627.24 15894.94
2 22 2006 15635.72 15781.78
2 23 2006 15812.53 16096.1
2 24 2006 15856.05 16101.91
2 27 2006 15949.89 16192.95
2 28 2006 15918.48 16205.43
3 1 2006 15818.09 15964.46
3 2 2006 15882.45 15909.76
3 3 2006 15802 15663.34
3 6 2006 15811.83 15901.16
3 7 2006 15602.36 15726.02
3 8 2006 15493.09 15627.49
3 9 2006 15510.13 16036.91
3 10 2006 15445.05 16115.63
3 13 2006 15542.07 16361.51
3 14 2006 15519.76 16238.36
3 15 2006 15720.36 16319.04
3 16 2006 15729.04 16096.21
3 17 2006 15801.66 16339.73
3 20 2006 15929.95 16624.8
3 22 2006 15642.81 16495.48
3 23 2006 15771.17 16489.37
3 24 2006 15716.46 16560.87
3 27 2006 15815.87 16650.1
3 28 2006 15856.58 16690.24
3 29 2006 15745.11 16938.41
3 30 2006 15880.69 17045.34
3 31 2006 15805.04 17059.66
4 3 2006 16063.75 17333.31
4 4 2006 16100.09 17292.91
4 5 2006 16100.09 17243.98
4 6 2006 16411.13 17489.33
4 7 2006 16471.78 17563.37
4 10 2006 16521.59 17456.58
4 11 2006 16475.81 17418.13
4 12 2006 16310.76 17162.55
4 13 2006 16429.45 17199.15
4 18 2006 16637.53 17232.86
4 19 2006 16830.44 17350.12
4 20 2006 16944.34 17317.53
4 21 2006 16912.15 17403.96
4 24 2006 16705.67 16914.4
4 25 2006 16577.77 16970.29
4 26 2006 16672.66 17055.93
