   sp       csco    intc
  -1.148  -2.539   0.000
  -1.400  -4.082   0.000
  -0.283  -3.021   0.647
  -1.747  -2.485  -0.973
  -0.171   3.705  -0.982
  -1.089  -0.608   0.982
   0.971   1.213   0.972
   0.222  -1.212   2.548
  -0.873   1.213  -0.631
   0.396   7.260   2.191
   0.775   4.652   4.243
   3.664   4.701  -0.297
   1.291   1.519   4.083
  -0.353   5.855   2.817
  -0.834  -2.156  -2.817
   0.577  -1.218   0.286
   1.375  -0.491  -0.285
   0.385   5.743   0.569
  -0.012   3.204   0.000
  -0.057  -0.905   1.130
   1.498   4.010   0.560
   0.882   2.160   2.210
  -0.256  -0.428   2.695
   1.530  -0.862   0.000
   0.835   0.862   2.106
   1.920   0.854   4.083
  -0.434  -3.243  -1.511
   0.791   3.668  -1.793
   2.536  -2.359   2.299
  -0.839   2.781  -2.817
   0.958   1.674  -0.260
  -1.309  -2.948  -1.575
   1.320   0.000   3.126
   0.089  -0.859   2.532
  -1.157  -0.432  -0.501
  -0.047  -1.308  -0.504
   0.186  -0.440   0.504
   0.439   0.000   0.502
  -1.219  -2.228  -1.005
   1.350  -2.972  -0.506
  -0.182   3.868  -3.093
   0.922   1.770   0.000
  -0.308   1.307   0.523
   1.981   3.404   6.795
  -0.146  -4.712   0.243
  -0.069  -4.027   0.484
  -0.256   1.361  -0.484
  -0.532  -4.610 -11.839
  -0.789  -6.832  -1.099
   1.219   5.407   5.116
  -0.286  -5.407  -0.262
   0.024  -3.077  -0.527
  -0.397   6.062  -0.530
  -1.495   1.942  -3.794
   0.362   9.180   1.916
  -0.365  -7.276  -3.587
   0.245  -2.871  -1.699
   0.637  -4.467   0.853
   1.734   1.512   6.313
  -0.253   5.827   1.058
  -0.035  -8.359  -1.592
  -1.050  -9.122   1.591
   2.184  15.576   2.083
  -0.148   0.957   1.026
   0.219  -2.899   0.509
  -1.168  -1.482  -2.051
   0.875   3.424   0.517
  -1.356  -1.942  -3.943
  -0.110  -0.491   1.860
   1.193   7.129   9.052
   0.731   4.485   4.236
   0.207  -2.667  -0.230
   1.673   6.959   0.691
   0.727   8.841   0.458
  -0.511  -0.772  -2.309
  -1.103  -3.150  -1.175
  -0.849  -2.429   0.706
   0.212   1.626   0.702
   0.262   3.953   2.532
  -0.921  -3.150  -3.704
  -0.061  -2.429  -1.665
  -1.424  -5.909  -3.415
   0.451   3.419  -2.258
   1.308   0.836  -1.535
   0.060   2.469  -0.516
   0.074   0.000   0.517
  -0.189   2.410   2.041
  -0.729   0.000   1.504
   0.315  -0.797   2.458
   1.245   1.587   5.662
  -1.979  -3.201  -2.791
   0.271   3.200  -0.473
  -1.374  -3.607   0.944
  -0.824  -8.072  -7.809
   0.977   2.620  -1.535
   0.054  -1.739   0.000
  -0.030  -0.881   0.000
   0.821   3.479  -3.142
   0.224   4.185   3.141
  -0.325   1.626   4.041
   0.670   2.390   0.985
   1.172   4.616   4.317
   0.222  -3.054  -1.896
   1.084   1.156   1.896
   0.739  -1.156   4.588
  -0.455   0.772   4.815
  -0.083   1.526  -1.290
  -0.686   0.755  -7.178
  -0.380  -1.134  -0.466
  -1.101  -0.381  -2.364
  -0.227   0.000  -3.406
   0.653   1.515   1.474
  -1.161  -2.282  -3.728
   0.260   2.282  -1.274
   1.226   2.231  -1.031
  -0.567   4.317   2.558
  -0.406  -1.418  -2.041
  -0.929  -2.899  -2.084
   0.088  -0.369  -0.792
   0.619  -1.862  -0.265
  -1.819  -6.203  -7.166
  -0.078  -1.613   0.569
   0.253  -0.816   4.445
   0.753   1.626  -0.818
  -0.869  -1.626   1.900
   1.805   5.579  -2.174
  -0.119  -1.562  -5.942
  -1.103   0.784   0.000
   0.201  -0.784   0.000
   1.027   2.719   2.873
  -0.485   4.495   2.518
  -0.098   0.365   3.261
   0.327   0.000  -2.710
   0.866   2.166   2.174
   0.561   0.000   0.537
  -0.223   0.711  -2.162
  -0.094   1.408  -3.334
   1.093   1.389   3.334
  -0.299   3.390   3.226
  -0.349   0.000  -2.682
  -0.908  -2.703  -3.315
  -0.206  -2.778   0.560
   0.611   1.050   2.210
  -0.008   2.069  -1.099
   0.581   3.685   0.550
   0.920   1.955   0.821
   0.289   1.282   2.422
  -0.178   0.317   5.435
   0.015   3.432  -0.759
  -0.549   1.220  -1.020
   1.434  -1.219   4.021
  -0.015  -2.485  -0.990
  -0.318  -2.226  -3.030
  -0.567   0.321  -1.290
   0.232   3.155   1.802
   0.411   3.059   1.519
   0.072   3.550   1.000
  -0.146  -3.550  -1.756
  -0.968   2.968  -3.346
  -2.391  -2.367  -1.318
   0.783  -0.902   1.317
   2.899   6.718   5.599
   0.189   1.958  -0.995
   0.723   1.375   0.499
  -0.081   0.000   0.497
  -0.201  -0.547   3.884
   0.907   1.093  -1.439
  -0.043  -0.544  -0.971
  -0.263  -0.823  -3.475
  -0.833  -1.387  -2.041
  -0.557  -3.990  -0.516
  -0.213  -1.759  -1.566
  -0.010   0.000   0.000
  -0.136   3.202  -1.059
  -1.037  -0.287   1.583
   0.138   1.142   2.072
   0.583   2.248   2.030
  -0.973  -2.247 -14.581
   0.569  -2.299  -3.550
  -0.073   0.000  -1.212
   0.373   2.299   1.812
   0.160   1.691  -0.902
   0.093   0.835   2.093
  -0.517  -0.277  -3.004
   0.463  -0.278   1.812
  -0.214  -3.688   0.299
  -0.101  -7.188   1.482
  -0.153  -0.623  -0.590
   0.507   2.469   0.000
   0.345   3.003  -2.699
  -0.242  -2.395  -2.774
  -0.981  -2.454  -1.258
  -0.844   2.454   1.258
  -0.457   0.905   0.000
   0.308   0.300  -3.498
  -1.022  -6.175  -0.325
   0.990  -0.960   8.701
   0.236   4.404  -0.298
   1.307   4.512   2.068
   1.168   2.899   3.449
   0.457   2.817   2.510
  -0.224   0.000  -3.933
   0.148  -0.278   0.856
  -0.634  -1.403  -2.299
  -0.563   2.235   0.291
   0.028   0.550  -0.874
  -0.743  -3.069  -0.587
  -0.226  -1.426   0.000
   1.375   3.944   0.586
   0.502   0.276   2.312
   0.377   4.577   0.000
  -0.127   2.598  -7.411
  -0.291  -3.125   3.031
  -0.266   0.265  -2.112
  -0.403   2.347   2.410
   0.324   0.514  -0.597
   0.957   6.933   2.950
  -0.211   1.896   0.579
   0.058  -0.943  -0.580
   0.917   1.178   0.579
   0.169   2.543   0.000
  -0.065  -0.917   0.000
  -3.727  -5.689  -5.342
   0.682   0.971   1.812
  -1.522  -2.942   0.000
  -0.235  -1.000  -1.205
   0.403   1.000   0.000
  -1.037  -2.010  -0.608
  -0.213  -1.020  -1.846
   0.696   0.766   1.846
  -0.374   0.760   0.305
  -0.354   0.000  -0.304
   1.634   4.445   2.112
  -0.115   2.386  -0.900
  -0.234   3.705  -0.301
  -0.708  -1.835  -0.302
   0.452  -0.696   1.205
  -0.222   1.619   1.191
  -0.095  -0.921   1.759
  -0.053   0.000  -0.876
   1.014   0.922   2.032
   0.762   0.686   1.709
  -0.003   2.029   1.681
  -0.443   0.000  -1.117
   0.188   1.551   0.839
  -0.251  -1.550  -5.437
   1.175  -1.802   0.000
   2.496   2.690   3.468
   0.631   4.752   2.801
   1.370   7.320   4.852
   0.399   0.781   0.000
   2.113   4.191   2.598
   0.469  -1.125   0.512
   0.041  -0.758   2.519
   0.497   1.883  -0.499
  -0.330   0.372  -1.511
  -0.134   4.008   4.468
   0.168   4.538   1.446
  -0.117   0.511   2.364
  -0.603  -1.886  -1.412
  -0.183   1.033   1.412
   1.461  -0.343   1.852
   0.078   2.712   2.715
  -0.610   1.494   8.553
   0.155  -1.160   2.429
  -0.599  -6.542  -1.613
  -0.898  -4.736  -3.306
   1.322   7.889   2.899
  -0.761   1.709   1.015
   0.125   0.338   0.805
  -0.118   0.674  -1.616
  -0.007   0.168   2.017
  -1.120  -2.202  -3.452
   0.314   2.034   0.207
  -0.692   0.835  -1.245
   0.181   4.871  -0.209
   1.049   2.039   4.700
  -0.002   2.907   0.200
  -0.005   1.645  -0.600
  -0.662   1.473   3.350
   0.650  -1.770   1.156
  -0.002  -1.197   0.382
   0.811   2.968   3.746
  -0.828  -0.292   0.732
  -0.293  -1.180  -2.027
  -1.244  -2.251  -3.990
   0.216  -0.762  -1.170
   1.372   2.268   3.468
  -0.591  -2.574   2.617
   0.197  -1.857  -3.569
  -0.442  -0.784  -2.517
   1.187   4.616   2.708
  -0.359  -0.755  -1.539
  -0.281  -1.219  -1.562
  -0.061  -0.615   3.482
   0.097  -0.619  -1.340
  -0.856  -0.623  -1.749
  -0.691  -1.258  -0.393
  -0.511  -1.274  -1.989
   0.190   0.957   0.000
   0.414   2.198   3.550
  -0.705  -2.198  -3.150
  -0.035   0.475   2.372
   0.482   0.158   0.000
   0.135  -0.158   2.125
   0.782   3.873   0.572
  -0.105   1.808   1.322
   0.159  -1.050  -1.512
   0.365   0.000  -0.957
  -0.339  -2.288  -2.729
  -0.252   1.227  -3.213
  -0.333   4.179  -1.646
   0.083  -1.177  -2.522
  -1.075  -8.004  -6.142
  -0.124   0.000  -3.687
   0.171   1.274   3.687
   0.134   2.500   0.901
  -0.927  -1.555  -0.901
   0.262   0.313  -0.909
   1.001   3.077   5.551
  -1.874  -7.551  -2.848
  -0.898   0.000   2.198
   1.544   4.160  -0.436
   0.907  -6.141 -11.316
   0.442   1.324  -2.475
   1.542   4.502   4.652
   0.939   0.000   2.364
  -0.055  -2.871  -2.364
  -1.426  -3.625  -2.421
   0.024  -2.722  -0.985
  -0.110   2.722   3.406
   0.436  -2.377  -0.479
  -0.629   0.343  -0.482
  -0.139  -2.778  -1.460
   0.161  -3.950  -0.491
   0.709   3.950   2.673
   0.709   2.778   2.604
  -0.585   1.022  -1.650
   1.056   2.345  -0.238
  -0.017   2.936   3.509
  -0.012   0.000  -1.156
  -0.226  -1.621   0.000
   0.048   1.299  -0.700
   0.585   2.233  -0.469
  -0.527  -0.951  -2.865
   0.038  -2.581  -0.729
  -0.798   5.097  -4.489
  -0.741   1.541  -1.543
   0.661   2.118  -2.095
   0.859   0.597  -0.530
  -0.236   0.593   1.845
  -0.674  -1.791  -0.786
   0.344  -0.604   2.083
  -0.632  -0.608  -1.558
   0.185   0.000   3.599
   1.103   3.594   2.000
  -0.334   7.369  -0.995
   0.468   5.837   1.980
  -0.915  -2.611   0.245
   0.263  -1.064   0.730
  -0.321   0.534  -2.457
   0.053  -1.609  -0.499
  -0.029   0.540   1.242
  -0.802  -1.081   0.493
  -0.688  -0.544  -1.485
   0.441   1.087  -0.249
   0.173   1.609  -1.005
   0.129   0.266  -2.041
  -0.481  -2.145   0.000
  -1.495  -4.150  -1.558
  -0.324  -2.866   6.584
   0.674   2.299   3.373
  -0.067  -0.570   2.342
   0.159   3.922   1.835
  -0.052   0.821  -0.456
  -0.176  -1.649  -0.687
   0.082  -0.556   1.596
   1.352   5.157   4.426
  -0.196  -0.530  -1.308
   1.155   3.655   1.739
  -0.269  -2.072  -3.733
   0.501   1.559   1.993
  -1.137  -6.111  -1.547
   0.273   0.274   1.547
   0.956   2.695   0.873
   0.097  -0.801  -1.754
   0.060   0.801   0.441
   0.675   3.141   2.609
  -0.139   2.293   0.000
   0.105   0.252  -0.430
  -0.461  -1.010  -3.509
  -0.451   1.010  -0.447
   0.002   1.990   1.336
  -0.686  -3.509  -2.237
   0.280   2.519   3.991
  -0.117   2.941   1.296
  -0.015  -1.951  -2.609
   1.443   2.433   4.311
   1.122   0.957  -0.848
   0.400   0.238   0.425
   0.068   1.415   1.263
   0.207  -0.234   1.865
  -0.172   0.000  -0.412
  -0.513  -2.375  -2.084
  -0.380  -3.673  -1.485
  -0.407   0.000   0.214
   0.129   1.975   0.849
  -0.124   0.730  -0.211
  -0.268  -2.457  -2.142
  -0.012  -1.252   1.291
   0.521  -1.267   1.905
   0.198   0.000  -1.905
   0.142   0.000  -1.290
  -0.753   0.000  -3.077
   0.019   0.000   1.989
  -0.819  -3.636  -1.100
  -1.000  -4.879  -2.464
   0.216   3.547   2.020
   0.461   0.801   1.324
   0.005  -1.070   1.307
   0.316  -0.269   0.000
  -0.195   1.072   0.432
   0.491   2.891   1.921
   0.458   3.563   2.711
   0.000   0.499   2.439
  -0.216   0.000  -1.619
  -0.635   0.249  -0.409
   0.462   3.175   3.226
   0.859   2.844   1.965
  -0.088  -0.234  -0.390
   1.347   2.086   2.317
  -1.302  -2.321  -2.708
   0.036  -1.418   0.000
   0.002   1.887   1.169
   0.712   1.852   1.156
  -0.187   2.268  -0.577
  -1.191  -1.354  -0.968
   0.072  -1.373   3.629
   0.246   2.503  -0.942
  -0.989  -4.364  -1.912
   0.546  -3.341   0.769
   0.043   2.871   0.382
   0.240  -0.236   0.381
  -0.362   0.706  -3.089
  -1.408  -3.828  -1.980
  -0.709  -0.244   1.784
  -0.096   2.653   2.904
  -0.722   0.947   0.381
   0.862   3.020   0.757
  -1.256  -1.151   0.376
   1.180   1.379  -0.944
   0.455   0.228  -1.916
   0.017   0.228  -2.348
   0.056   0.905   1.376
   0.519   2.447  -1.179
   0.786   1.526   4.066
   0.120   0.432   1.319
   0.046   0.645   3.315
  -0.185   1.277  -1.829
  -0.193  -1.063  -0.927
   0.976   1.695   2.173
   0.079  -1.695  -1.842
   0.391   2.532   0.000
   0.174   1.653  -1.121
  -0.519  -1.653   1.493
   0.967   2.062   0.369
  -0.672   0.000  -0.741
  -0.671   0.407   0.556
   0.294   4.375   3.452
  -0.182   2.308  -1.439
   0.242   0.947   0.361
   0.007   5.317   0.899
   0.852   0.711   0.713
   0.159   1.233  -1.612
  -0.104  -1.234   1.077
  -0.415  -1.249  -1.802
  -0.336  -1.629  -1.466
   0.850   3.585   2.550
   0.180   1.398   0.359
   0.715   2.740   1.069
  -0.359  -1.360  -1.070
   0.579   3.698   0.714
   0.374  -1.329   0.355
   0.226   0.000   0.706
   0.276   0.000   0.702
  -0.132  -0.840   2.076
  -0.207  -2.216   0.341
   0.005   1.370   5.317
   0.499   1.352   1.923
   0.749   0.669   0.316
   0.385  -1.005  -0.954
  -0.307  -0.675   1.584
  -0.232  -0.680   1.250
  -0.210  -2.069  -2.040
  -0.205  -1.050  -1.115
  -0.062  -1.062  -0.804
  -0.243  -1.074   7.618
   0.902   4.054   3.530
   1.335   0.860  -1.163
  -0.131   0.000   5.129
  -0.089   0.341  -1.399
  -0.291   1.356   1.398
   0.168   1.338   0.000
  -0.141   6.121   0.416
  -0.267  -3.175  -1.533
   0.192   1.442  -1.130
  -0.711   0.000  -1.143
  -0.076  -0.798  -0.577
  -0.239   2.688   5.071
   0.041   2.465   8.046
  -0.876  -2.622   1.009
  -0.391   1.551  -0.882
   0.442   2.432   3.605
   0.021   0.748  -0.367
   0.461   2.648   7.665
   0.670   3.844   2.356
   0.277  -2.977  -0.891
  -0.071   2.557   4.270
  -0.392  -0.987  -1.621
  -0.405   0.565  -1.869
   0.488   4.138  -0.557
   0.142  -0.406  -0.447
   0.890   1.214   1.115
  -0.014  -1.486   1.518
  -0.419  -2.899  -1.542
   0.125  -1.838  -3.272
   0.027   0.994  -2.086
   0.849   2.510   4.129
   0.009   2.045   0.000
   1.043  -0.406  -2.158
   0.526  -0.954   0.343
  -0.140  -2.915  -2.198
  -0.241  -0.849  -0.704
  -0.564  -2.590   4.039
   0.202   2.590   3.556
   0.320  -0.570  -1.873
  -0.690  -1.294  -1.232
  -2.429  -5.504  -4.727
  -0.141   0.306   2.449
  -0.324   4.472   1.373
   0.536  -0.879   4.770
   0.235  -3.288  -0.761
  -0.101  -1.686  -1.098
   1.386   5.269   3.897
   0.333   1.745   0.212
   0.235   1.004  -1.279
  -0.309  -2.163  -1.079
   1.324   3.298   3.622
   0.303   2.094   0.314
  -0.428   1.916  -1.048
  -0.275  -0.271  -2.454
   1.909  -1.643   2.769
  -0.068   0.962  -0.844
   0.424   0.818  -0.745
  -0.574   2.015  -0.213
  -0.861   0.266   0.640
   0.355   1.579   0.846
  -0.013  -0.786   0.944
  -0.680  -2.938  -4.265
   0.795  -1.364   0.867
  -0.379  -1.802  -1.743
  -0.289  -3.849  -0.661
  -0.027  -2.950  -0.443
  -0.154  -0.601   1.544
   0.625   8.097   0.980
  -0.690   0.554  -1.089
   0.665  -2.801   0.110
   0.266  -0.570   1.088
  -0.066   2.260  -0.434
  -0.304  -1.123  -3.090
  -2.003  -4.329  -3.653
   0.208   1.173   2.413
  -0.256   0.292   1.241
   0.355   3.989   2.217
  -0.201  -2.546  -0.881
   1.467   0.287   3.905
   0.189   3.647  -4.238
  -0.125   0.823   0.111
  -0.058  -1.099  -1.003
   0.120  -1.671  -1.467
  -0.330  -3.429 -11.806
  -0.529  -2.950   3.271
  -0.331   3.530   1.718
  -0.944  -0.580  -6.795
  -0.555  -1.464  -3.444
  -0.341  -4.218  -5.855
   0.565  -0.617   5.158
   0.002   5.423   2.681
   0.221   2.605   1.314
   0.273  -5.884  -0.655
   0.514   4.734   1.952
   0.359   3.130   4.411
   0.106   3.034   0.123
  -0.284  -1.643  -0.246
  -0.215   7.450   0.738
   0.111   1.526   0.489
   0.352   0.504  -2.971
   0.099  -1.519  -1.519
  -1.260  -0.768  -0.128
   0.075   3.038  -0.384
   0.184   3.912   1.526
  -0.011   2.135   2.248
   1.633   3.913   3.160
  -1.572  -1.363  -0.239
   1.185  -1.151  -0.722
   0.483   0.462   0.242
   0.190  -1.392   0.000
   1.017   5.012   6.303
  -0.227  -2.247   2.016
  -0.492  -1.835  -1.677
   0.805  -2.342   4.086
   0.004   0.237  -0.651
  -0.300   2.567  -0.766
  -0.538  -3.996  -0.993
  -0.528  -2.182   3.057
  -0.668  -0.985  -2.615
   0.240   0.740  -1.334
  -0.090   1.705  -2.262
   0.421   1.914   3.374
   0.101   2.342   1.100
  -0.322   0.000   1.088
   0.260  -1.164  -2.189
   0.248  -0.469  -0.666
  -1.089  -3.107  -1.345
   0.571  -1.221   2.453
  -0.065  -0.246  -2.228
  -0.616  -0.494  -0.905
   0.771   1.718  -2.299
   0.219   3.819   1.615
   0.945   5.246   2.486
  -0.257  -1.117   0.889
  -0.036  -1.586  -2.691
  -0.336   1.361  -1.835
  -0.711   0.000  -0.231
  -0.994  -1.360  -1.167
   0.317  -3.248  -1.181
   1.299   1.172   3.959
  -0.109   2.076   2.257
   0.190   0.909  -0.672
  -0.198   1.572  -2.043
   0.443   0.223  -2.086
  -0.191  -7.376  -1.178
  -0.775  -4.401  -4.359
   0.063  -1.005   0.740
   0.287   5.407   2.187
  -0.029  -1.933  -1.697
  -0.599  -0.981  -2.225
   0.581   4.102   3.440
   0.444   4.846   2.246
  -0.189  -5.082   0.236
  -0.234   1.645   1.172
   0.680  -1.173  -1.173
  -0.470  -2.146  -1.425
   0.450   1.198   0.715
  -0.196   1.887   0.710
  -0.163   1.623   3.705
  -0.091   1.370   1.355
   0.123   2.905   2.655
   0.454   3.463   0.869
  -0.282   0.000  -1.527
   0.224  -2.151   3.244
  -0.334  -0.874   0.213
   0.262  -7.040   1.475
   0.496   3.468   7.456
   0.166   4.010   0.966
   0.640  -0.877   0.766
   0.085  -3.588  -2.317
  -0.059  -3.013  -0.392
  -0.204   1.634   0.781
   0.992   2.062  -1.174
   0.078  -3.931  -1.588
   0.198  -5.080   1.390
  -0.109   4.370   0.393
   0.295  -5.618   0.587
   0.359  -4.103   0.390
  -0.088   1.042  -1.174
  -0.400   1.031  -0.790
   0.009  -2.862  -0.398
  -0.613  -8.821  -1.202
  -0.409   0.861   1.600
   0.186   6.364   2.740
   0.918  -4.104   1.151
   0.074  -6.939  -1.152
  -0.469   1.191  -2.344
   0.369   2.339   2.537
  -0.471   5.619  -1.358
  -0.131   0.000   0.390
  -0.827  -2.770   1.353
  -0.463   1.118   0.192
   0.715   4.879   3.019
   0.337   0.000   1.659
  -0.024   2.612   0.547
   0.907   4.781   2.336
