Mon day year open high low close volume adjclose
7 1 2002 27.6 27.6 27.1 27.16 2307600 1.89
7 2 2002 26.95 27.12 26.7 27.02 4052400 1.88
7 3 2002 27.1 27.66 27.1 27.55 3411600 1.92
7 5 2002 27.3 27.45 27.15 27.35 476400 1.9
7 8 2002 27.1 27.48 27 27 696000 1.88
7 9 2002 27.05 27.55 27.05 27.3 2534400 1.9
7 10 2002 27.25 27.25 27 27.02 460800 1.88
7 11 2002 26.82 27.11 26.75 27.05 2998800 1.88
7 12 2002 27 27.4 26.8 27.11 5691600 1.89
7 15 2002 27.11 27.2 26.85 27.19 7260000 1.89
7 16 2002 27.1 27.65 27.1 27.52 5815200 1.91
7 17 2002 27.52 27.52 27 27.1 6288000 1.89
7 18 2002 27.05 27.1 27 27 4052400 1.88
7 19 2002 26.8 26.8 26.5 26.65 3966000 1.85
7 22 2002 26.85 26.91 26.25 26.25 8041200 1.83
7 23 2002 26.2 26.25 25.82 26 6543600 1.81
7 24 2002 25.35 25.46 25.19 25.2 4614000 1.75
7 25 2002 25.3 25.3 24.7 24.9 1369200 1.73
7 26 2002 24.9 24.95 24.05 24.1 1795200 1.68
7 29 2002 24.1 24.1 22.5 22.83 2527200 1.59
7 30 2002 22.85 23.73 22.15 23.6 7682400 1.64
7 31 2002 23.61 26.1 23.61 24.5 17091600 1.7
8 1 2002 24.7 25.25 24.3 25.1 7167600 1.75
8 2 2002 25.5 25.7 25.37 25.37 4081200 1.76
8 5 2002 25.4 25.56 24 24.1 3572400 1.68
8 6 2002 24.1 24.5 23.85 24.3 1911600 1.69
8 7 2002 24.7 25.15 24.6 25.14 1516800 1.75
8 8 2002 26.3 26.3 25.5 25.79 3714000 1.79
8 9 2002 25.8 25.8 25.23 25.35 2893200 1.76
8 12 2002 25.15 25.15 24.65 24.82 1305600 1.73
8 13 2002 24.4 24.63 24.35 24.35 1084800 1.69
8 14 2002 24.36 24.52 24.05 24.52 3421200 1.71
8 15 2002 24.7 24.7 24.5 24.55 834000 1.71
8 16 2002 24.56 25.95 24.56 25.91 3212400 1.8
8 19 2002 25.91 25.95 25.2 25.2 2460000 1.75
8 20 2002 25.2 25.2 25 25.09 720000 1.75
8 21 2002 25.25 25.5 25.25 25.36 2932800 1.76
8 22 2002 25.31 25.35 25 25.02 3087600 1.74
8 23 2002 24.95 25.4 24.9 25.35 1124400 1.76
8 26 2002 25.35 25.48 25.3 25.37 684000 1.76
8 27 2002 25.4 25.65 25 25.25 1471200 1.76
8 28 2002 25.2 25.49 25.2 25.42 495600 1.77
8 29 2002 25.14 25.31 25 25.3 1008000 1.76
8 30 2002 25.21 25.68 25.21 25.6 1288800 1.78
9 3 2002 24.45 24.75 24.45 24.52 915600 1.71
9 4 2002 24.6 25.05 24.2 25.05 1083600 1.74
9 5 2002 24.65 25.1 24.45 24.95 1086000 1.74
9 6 2002 24.95 25.35 24.9 25.25 369600 1.76
9 9 2002 25.25 26.1 25.22 25.84 2377200 1.8
9 10 2002 25.9 25.9 25.3 25.35 1686000 1.76
9 11 2002 25.75 25.75 25.6 25.6 733200 1.78
9 12 2002 25.61 25.61 25.15 25.21 919200 1.75
9 13 2002 25.21 25.31 25.2 25.2 252000 1.75
9 16 2002 25.15 25.29 25.15 25.27 1222800 1.76
9 17 2002 25.3 25.3 24.85 24.87 1095600 1.73
9 18 2002 24.8 24.8 24.55 24.59 3547200 1.71
9 19 2002 24.59 24.6 24.05 24.07 3634800 1.67
9 20 2002 23.75 24.69 23.74 24.65 6619200 1.71
9 23 2002 24.15 24.21 23.9 24.16 5078400 1.68
9 24 2002 24.05 24.06 23.85 23.85 6472800 1.66
9 25 2002 23.9 24.4 23.75 24.15 1550400 1.68
9 26 2002 24.1 24.1 23.69 23.84 5583600 1.66
9 27 2002 23.35 23.36 22.75 22.87 2148000 1.59
9 30 2002 22.2 23 22 22.75 3945600 1.58
10 1 2002 22.85 23.6 22.55 23.55 3786000 1.64
10 2 2002 23.3 23.9 23.2 23.2 4448400 1.61
10 3 2002 23.1 23.8 22.95 23.59 3744000 1.64
10 4 2002 23.75 23.75 23.4 23.55 1465200 1.64
10 7 2002 23 23.24 22.95 22.95 1950000 1.6
10 8 2002 22.95 23.2 22.71 23 3330000 1.6
10 9 2002 22.4 22.5 22.26 22.26 1768800 1.55
10 10 2002 22.25 22.44 22.05 22.13 4372800 1.54
10 11 2002 22.25 23.04 22.19 22.63 1707600 1.57
10 14 2002 22 22.19 21.75 21.75 2071200 1.51
10 15 2002 22.25 22.45 21.91 22.14 2565600 1.54
10 16 2002 22.14 22.14 21.75 21.75 1338000 1.51
10 17 2002 21.65 22.83 21.65 22.71 7141200 1.58
10 18 2002 22.8 23.35 22.65 23.27 2533200 1.62
10 21 2002 22.99 23.38 22.95 23.38 3206400 1.63
10 22 2002 23.19 23.64 23.19 23.63 4202400 1.64
10 23 2002 23.56 24.3 23.5 24.3 4274400 1.69
10 24 2002 24.15 25.1 24.1 24.95 4614000 1.74
10 25 2002 24.95 25.99 24.75 25.98 4960800 1.81
10 28 2002 25.95 26 25.65 25.75 3044400 1.79
10 29 2002 25.5 25.63 25.42 25.63 2551200 1.78
10 30 2002 25.55 25.85 25.55 25.8 2108400 1.79
10 31 2002 25.7 26.35 25.65 26.35 4642800 1.83
11 1 2002 26.25 26.55 26.12 26.45 3135600 1.84
11 4 2002 26.65 26.85 26.39 26.42 2067600 1.84
11 5 2002 26.15 26.16 24.55 24.66 3223200 1.72
11 6 2002 25.05 25.88 25.04 25.88 4561200 1.8
11 7 2002 25.85 26.8 25.75 26.58 2184000 1.85
11 8 2002 26.6 27.1 26.2 26.35 1479600 1.83
11 11 2002 26.7 26.75 25.8 26.49 2859600 1.84
11 12 2002 26 26.3 25.82 26 2432400 1.81
11 13 2002 25.65 26.14 25.3 25.86 1329600 1.8
11 14 2002 25 26.65 25 26.25 4052400 1.88
11 15 2002 26.3 26.9 26.3 26.7 1756800 1.91
11 18 2002 26.76 28.15 26.76 27.7 4290000 1.98
11 19 2002 27.5 27.5 26.71 26.81 2574000 1.92
11 20 2002 26.4 26.45 26.24 26.38 4424400 1.89
11 21 2002 26.36 27.65 26.35 27.45 4060800 1.97
11 22 2002 26.95 27.08 26.76 27.08 2995200 1.94
11 25 2002 27.2 27.3 26.7 26.81 2024400 1.92
11 26 2002 26.7 26.7 26.27 26.48 1875600 1.9
11 27 2002 26.45 26.9 26.45 26.82 2799600 1.92
11 29 2002 27 27.32 26.68 26.98 1488000 1.93
12 2 2002 27.25 28.43 27.25 28.25 2270400 2.02
12 3 2002 27.9 28.2 27.6 27.61 1790400 1.98
12 4 2002 27.2 27.3 26.91 27.29 824400 1.96
12 5 2002 27.3 27.55 27.05 27.25 1924800 1.95
12 6 2002 27.64 28.27 27.64 28.1 3554400 2.01
12 9 2002 27.89 28.39 27.62 27.8 1725600 1.99
12 10 2002 27.8 28.3 27.7 28.1 1640400 2.01
12 11 2002 28.15 29.54 28.15 28.78 6068400 2.06
12 12 2002 29.2 29.44 28.75 28.79 4848000 2.06
12 13 2002 28.8 28.9 28.23 28.32 1737600 2.03
12 16 2002 28.6 28.74 28.47 28.66 2314800 2.05
12 17 2002 28.66 28.93 28.62 28.65 5832000 2.05
12 18 2002 28.8 28.99 28.67 28.75 1210800 2.06
12 19 2002 28.7 29.05 28.65 28.8 733200 2.06
12 20 2002 28.8 28.84 28.5 28.78 1045200 2.06
12 23 2002 29 29.09 28.45 28.45 2259600 2.04
12 24 2002 28.45 28.85 28.4 28.59 363600 2.05
12 26 2002 28.54 28.6 28.4 28.58 874800 2.05
12 27 2002 28.66 28.9 28.66 28.75 1233600 2.06
12 30 2002 29.19 29.21 28.7 28.8 1921200 2.06
12 31 2002 28.9 29.18 28.8 28.91 228000 2.07
1 2 2003 29 29.15 28.86 28.9 1266000 2.07
1 3 2003 28.9 28.99 28.63 28.9 3025200 2.07
1 6 2003 29.2 29.45 28.98 29 2779200 2.08
1 7 2003 28.95 29.23 28.9 29.15 2565600 2.09
1 8 2003 28.95 29.1 28 28.15 3720000 2.02
1 9 2003 28.27 29.07 28.2 28.95 3808800 2.07
1 10 2003 29 29.05 28.25 28.4 2390400 2.03
1 13 2003 28.05 28.19 27.83 28.05 2796000 2.01
1 14 2003 28.15 28.6 28.08 28.6 1078800 2.05
1 15 2003 28.5 28.5 27.9 27.99 1422000 2.01
1 16 2003 28.15 28.25 27.7 27.75 3720000 1.99
1 17 2003 27.75 27.75 27.1 27.48 2732400 1.97
1 21 2003 27.19 27.34 26.79 26.79 7286400 1.92
1 22 2003 27 27.28 27 27.05 2756400 1.94
1 23 2003 27.1 27.1 26.15 26.15 5157600 1.87
1 24 2003 26.06 26.06 25.71 25.71 8997600 1.84
1 27 2003 25.8 26.08 25.74 25.85 2284800 1.85
1 28 2003 25.65 26.11 25.52 26.11 4042800 1.87
1 29 2003 25.85 26.16 25.78 26.16 8971200 1.87
1 30 2003 26.45 27.25 26.44 27.25 10950000 1.95
1 31 2003 27.31 27.7 27.3 27.65 6362400 1.98
2 3 2003 27.9 28.05 27.47 28.05 2073600 2.01
2 4 2003 27.95 28.12 27.5 28.11 8556000 2.01
2 5 2003 28.15 28.65 27.81 28.2 7749600 2.02
2 6 2003 28.05 28.64 28.05 28.55 2432400 2.05
2 7 2003 28.69 28.95 28.46 28.95 5710800 2.07
2 10 2003 28.3 28.75 28.15 28.7 4087200 2.06
2 11 2003 28.85 29.35 28.75 29.18 4594800 2.09
2 12 2003 29.18 29.18 28.61 28.85 1618800 2.07
2 13 2003 28.48 28.48 27.45 27.66 4497600 1.98
2 14 2003 27.5 27.5 27 27 3087600 1.93
2 18 2003 28.1 28.15 27.18 28.15 2820000 2.02
2 19 2003 28.15 28.15 27.34 27.42 2475600 1.96
2 20 2003 27.67 27.72 27.27 27.61 4759200 1.98
2 21 2003 27.65 28.3 27.57 28.3 5280000 2.03
2 24 2003 28.3 28.75 28.3 28.75 3597600 2.06
2 25 2003 28.2 28.95 28.2 28.95 6158400 2.07
2 26 2003 28.9 29.2 28.9 29.15 4755600 2.09
2 27 2003 28.25 28.56 28.15 28.5 8096400 2.04
2 28 2003 28.5 29.01 28.35 29 7203600 2.08
3 3 2003 29 29.7 29 29.5 10880400 2.11
3 4 2003 29.5 29.64 29.31 29.35 5103600 2.1
3 5 2003 29.35 29.6 29.15 29.3 19236000 2.1
3 6 2003 29.33 29.49 29.23 29.24 4482000 2.1
3 7 2003 28.99 28.99 28.5 28.63 6561600 2.05
3 10 2003 28.51 28.52 28.01 28.1 9090000 2.01
3 11 2003 27.95 28.5 27.95 28.5 1640400 2.04
3 12 2003 28.7 28.87 28.6 28.66 3015600 2.05
3 13 2003 28.55 28.75 28.46 28.7 6338400 2.06
3 14 2003 28.79 28.8 27.8 28 3862800 2.01
3 17 2003 28 28.53 27.94 28.15 4666800 2.02
3 18 2003 28.2 28.2 27.64 27.92 3122400 2
3 19 2003 27.97 27.97 27.31 27.44 5360400 1.97
3 20 2003 27.55 27.78 27.4 27.74 2216400 1.99
3 21 2003 27.71 27.83 27.61 27.8 2182800 1.99
3 24 2003 27.85 27.85 27.29 27.4 1837200 1.96
3 25 2003 27.5 27.65 27.5 27.62 4149600 1.98
3 26 2003 27.71 27.71 27.04 27.1 3433200 1.94
3 27 2003 27.1 27.85 27 27.51 10131600 1.97
3 28 2003 27.6 27.6 27.4 27.45 3644400 1.97
3 31 2003 27.3 27.39 26.87 26.95 5796000 1.93
4 1 2003 27 27.85 27 27.66 7011600 1.98
4 2 2003 27.7 28.01 27.7 27.95 10683600 2
4 3 2003 28.09 28.09 27.05 27.19 4002000 1.95
4 4 2003 27.45 27.45 26.84 27.05 4879200 1.94
4 7 2003 27.25 28.05 27.25 27.6 8106000 1.98
