 15 34370   96   1    1    7  1   0.125
 15 34397   27  -1    1    0  0   0.000
 15 34418   21   1    1    1  0   0.125
 15 34464   46   1    1    2  0   0.250
 15 34491   27  -1    1    1  0   0.125
 15 34608  117   1    1    4  0   0.250
 15 34659   51  -1    1    1  0   0.125
 15 34676   17  -1    1    0  0   0.000
 15 34743   67   1    1    0  0   0.125
 15 34759   16   1    1    1  0   0.250
 15 34817   58  -1    2    2  0   0.000
 15 34822    5   1    1    0  0   0.125
 15 34924  102   1    1    2  0   0.250
 15 34992   68  -1    1    0  0   0.125
 15 35043   51  -1    1    1  0   0.000
 15 35058   15   1    1    1  0   0.125
 15 35063    5  -1    1    0  0   0.000
 15 35119   56  -1    1    0  1  -0.125
 15 35156   37  -1    1    2  0  -0.250
 15 35164    8   1    3    0  0   0.125
 15 35203   39  -1    1    0  0   0.000
 15 35207    4  -1    1    0  0  -0.125
 15 35485  278   1    1    8  1   0.000
 15 35532   47  -1    1    4  0  -0.125
 15 35554   22   1    1    0  1   0.000
 15 35709  155  -1    1    4  0  -0.125
 15 35737   28   1    1    0  1   0.000
 15 35858  121  -1    1    4  0  -0.125
 15 35871   13   1    1    0  0   0.000
 15 35895   24  -1    1    0  0  -0.125
 15 35939   44   1    1    0  0   0.000
 15 35969   30  -1    1    0  0  -0.125
 15 36139  170  -1    1    9  0  -0.250
 15 36148    9  -1    1    0  0  -0.375
 15 36168   20   1    1    2  0  -0.250
 15 36188   20  -1    1    0  0  -0.375
 15 36290  102   1    1    8  0  -0.250
 15 36737  447  -1    1   13  0  -0.375
 15 36807   70   1    1    0  0  -0.250
 15 36823   16  -1    1    0  1  -0.375
 15 37266  443   1    1   13  1  -0.250
 15 37484  218  -1    1    6  0  -0.375
 15 38117  633  -1    1   13  0  -0.500
 15 38280  163   1    1    5  0  -0.375
 15 38402  122  -1    1    1  0  -0.500
 15 38514  112  -1    1    4  0  -0.625
 15 38779  265  -1    1    4  0  -0.750
 15 38887  108  -1    1    7  0  -0.875
 15 38892    5   1    1    0  0  -0.750
 15 38950   58  -1    1    0  0  -0.875
 15 39263  313   1    1   10  1  -0.750
 15 39277   14  -1    1    0  0  -0.875
 15 39336   59   1    1    0  0  -0.750
 15 39595  259  -1    1    7  0  -0.875
 15 39628   33   1    1    2  0  -0.750
 15 39638   10  -1    1    0  0  -0.875
 15 39677   39   1    1    0  0  -0.750
 15 39931  254  -1    1    3  0  -0.875
 15 39960   29   1    1    0  0  -0.750
 15 40120  160  -1    1    0  1  -0.875
 15 40171   51   1    1    0  0  -0.750
 15 40176    5  -1    1    0  0  -0.875
 15 40219   43   1    1    0  0  -0.750
 15 40377  158   1    1    7  0  -0.625
 15 40474   97   1    1    3  0  -0.500
 15 40502   28  -1    1    1  0  -0.625
 15 40555   53  -1    1    0  0  -0.750
 15 40556    1   1    1    0  0  -0.625
 15 40622   66   1    1    0  0  -0.500
 15 41234  612  -1    1   17  0  -0.625
 15 41280   46   1    1    0  0  -0.500
 15 41283    3  -1    1    0  0  -0.625
 15 41291    8   1    1    0  0  -0.500
 15 41699  408  -1    1    1  0  -0.625
 15 41703    4   1    1    0  1  -0.500
 15 42317  614  -1    1   13  0  -0.625
 15 42606  289  -1    1    5  0  -0.750
 15 42651   45   1    1    0  0  -0.625
 15 43406  755  -1    1   10  1  -0.750
 15 43749  343   1    1    4  0  -0.625
 15 43760   11  -1    1    0  0  -0.750
 15 43881  121  -1    1    3  0  -0.875
 15 43910   29   1    1    0  0  -0.750
 15 43933   23  -1    1    0  1  -0.875
 15 44584  651   1    1   18  0  -0.750
 15 44624   40  -1    1    0  0  -0.875
 15 45084  460   1    1    3  0  -0.750
 15 45150   66  -1    1    3  0  -0.875
 15 45168   18   1    1    1  0  -0.750
 15 45362  194  -1    1    4  0  -0.875
 15 45382   20   1    1    0  0  -0.750
 15 45776  394  -1    1   11  0  -0.875
 15 45848   72   1    1    1  0  -0.750
 15 46001  153  -1    1    1  0  -0.875
 15 46615  614   1    1   13  0  -0.750
 15 47078  463   1    1    3  0  -0.625
 15 47182  104  -1    2    2  0  -0.875
 15 47323  141   1    2    0  0  -0.625
 15 47457  134  -1    1    0  0  -0.750
 15 47673  216   1    2    1  0  -0.500
 15 47780  107  -1    1    3  0  -0.625
 15 47806   26   1    1    0  0  -0.500
 15 48026  220   1    1    3  0  -0.375
 15 48030    4  -1    1    0  1  -0.500
 15 48088   58  -1    1    1  0  -0.625
 15 48137   49   1    2    0  0  -0.375
 15 48160   23  -1    1    0  0  -0.500
 15 48270  110  -1    1    4  0  -0.625
 15 48462  192   1    1    1  0  -0.500
 15 48487   25  -1    1    0  0  -0.625
 15 48493    6   1    1    0  0  -0.500
 15 48618  125  -1    1    1  0  -0.625
 15 48726  108   1    1    0  0  -0.500
 15 48748   22   1    1    0  0  -0.375
 15 48812   64   1    1    5  0  -0.250
 15 48815    3  -1    1    0  0  -0.375
 15 48831   16   1    1    0  0  -0.250
 15 49096  265  -1    1    6  0  -0.375
 15 49373  277   1    1    4  0  -0.250
 15 49679  306   1    1    5  0  -0.125
 15 49682    3  -1    1    0  0  -0.250
 15 49687    5   1    1    0  0  -0.125
 15 49721   34   1    1    2  0   0.000
 15 49807   86  -1    1    3  0  -0.125
 15 49810    3   1    1    0  0   0.000
 15 49821   11  -1    1    0  0  -0.125
 15 49859   38   1    1    0  0   0.000
 15 49867    8   1    1    0  1   0.125
 15 49869    2  -1    1    0  0   0.000
 15 49887   18  -1    1    0  0  -0.125
 15 49962   75   1    1    0  0   0.000
 15 50254  292  -1    1    8  0  -0.125
 15 50262    8   1    1    0  0   0.000
 15 50366  104  -1    1    0  0  -0.125
 15 50462   96   1    1    3  0   0.000
 15 50530   68  -1    1    3  0  -0.125
 15 50556   26   1    1    0  0   0.000
 15 50607   51   1    1    2  0   0.125
 15 51020  413  -1    1    8  0   0.000
 15 51123  103   1    1    0  1   0.125
 15 51221   98  -1    1    1  1   0.000
 15 52079  858  -1    1    8  0  -0.125
 15 52174   95   1    1    3  0   0.000
 15 52366  192   1    1    4  0   0.125
 15 52400   34  -1    1    0  0   0.000
 15 52451   51   1    1    0  0   0.125
 15 52469   18   1    1    0  0   0.250
 15 52506   37  -1    2    0  0   0.000
 15 52598   92   1    1    1  0   0.125
 15 52771  173  -1    1    5  0   0.000
 15 52781   10   1    1    0  0   0.125
 15 52971  190  -1    1    1  0   0.000
 15 53032   61   1    1    0  0   0.125
 15 53424  392   1    1    3  1   0.250
 15 53618  194  -1    1    6  0   0.125
 15 53640   22   1    1    0  0   0.250
 15 53774  134  -1    1    1  0   0.125
 15 53817   43   1    1    0  0   0.250
 15 53959  142   1    1    5  1   0.375
 15 54084  125  -1    1    4  0   0.250
 15 54085    1   1    1    0  0   0.375
 15 54165   80  -1    1    2  0   0.250
 15 54191   26   1    1    0  0   0.375
 15 54345  154  -1    1    2  0   0.250
 15 54562  217  -1    1    4  0   0.125
 15 54648   86   1    1    0  0   0.250
 15 54801  153  -1    1    2  0   0.125
 15 54837   36  -1    1    1  0   0.000
 15 54894   57   1    1    4  0   0.125
 15 54997  103  -1    1    2  0   0.000
 15 55044   47  -1    1    2  0  -0.125
