IBM HPQ INTC JPM BAC
4.670132 -5.715888 13.53418 -14.85870 -9.639196
6.344511 -3.419090 1.880900 -0.4865819 6.565384
2.142973 6.138104 3.658937 -6.322525 -13.83579
2.673053 -4.756132 -5.539855 0 -1.954476
10.61764 9.03488 20.00952 15.79631 2.853595
-2.105307 -0.8306403 -2.624850 -4.463446 -3.278976
-5.241392 -9.135023 -5.46579 -10.3184 -4.429991
-7.847086 -21.23322 -28.76821 -6.164458 -8.429072
4.322423 -3.709561 -0.375203 -29.00743 -42.28575
-0.9445468 -25.34494 0.7490873 -42.58321 -21.44093
8.597125 14.31007 11.27955 11.64105 33.02414
-0.5516186 6.391333 2.631763 -3.352266 -3.196343
11.48285 19.85295 17.25338 19.96129 20.66141
2.500964 18.17856 4.278742 22.88417 3.922071
-12.27712 7.238299 -2.116439 6.595814 17.93254
-10.03719 2.225061 5.209517 16.53924 6.29579
4.122543 5.932967 12.39683 4.17972 13.31077
-8.861921 -6.423137 -18.14248 1.162813 -15.37947
4.159386 5.743177 1.069560 18.13461 -2.837067
-3.175799 -1.641296 5.18246 3.357597 11.52536
6.735673 -6.34362 -15.83687 -3.357643 -8.08522
-5.326366 1.752258 -3.922119 -2.493942 4.795458
-4.731071 -4.569321 0.9188655 -15.83687 -8.367296
-3.857244 17.14401 17.82483 1.989282 17.61207
1.117335 3.871482 20.04389 27.58476 7.696104
-2.150764 20.86941 5.878104 18.30654 7.938495
-3.962375 10.02787 -13.91713 -1.724789 -3.491862
8.326152 -0.6230369 -3.218647 7.001009 4.826717
1.324490 -5.129329 -6.765912 3.839922 -2.652674
7.558231 -9.554 13.10283 2.502622 3.164497
-3.244881 6.499248 4.711829 -6.252029 -3.471671
-7.57823 -24.98572 -2.972649 -7.052977 -6.175945
-7.023042 -2.296877 12.54169 1.299223 3.438693
-18.85332 1.997810 2.774843 5.225084 4.138568
3.792564 15.63463 5.756961 8.70113 9.33428
-30.36827 5.236377 19.62105 3.729578 1.965654
2.208727 2.995775 20.55179 5.048397 4.519227
6.420503 2.401531 8.740172 -0.3081744 -0.466185
-6.653304 3.43193 -1.295961 0.5049231 2.810629
-4.52338 -1.655630 -18.86902 -5.406767 -9.599672
9.161062 10.75289 15.32120 0.3262672 -4.323845
-6.61195 -2.581742 -0.7923307 7.115347 5.169072
-10.39548 -11.77829 -5.033691 0.9132174 1.499994
3.315234 2.908685 20.67418 -1.526796 3.020908
-8.552194 -7.709597 9.637053 10.95851 0
9.09717 7.397696 -11.12668 -11.46625 -9.944472
16.26544 0.169656 -2.805797 -4.134088 1.953985
4.757419 7.192617 0.809713 5.076726 3.901685
0 7.614033 5.185784 -1.569858 3.509104
-6.159353 6.114213 5.225084 -5.86487 -2.827808
3.256109 -9.544759 -1.834932 -1.337809 -6.607463
5.129369 -2.309566 -10.04349 -4.570264 13.28485
9.531018 -2.204829 2.429253 9.922704 6.636061
-6.984323 -3.830433 -6.61398 1.307416 -7.497681
5.18246 3.107319 1.383584 -0.3252283 8.17256
10.53604 14.65303 10.40942 0.9724563 0.8217147
1.62896 -2.478257 -6.682273 -8.928924 -12.90568
6.767547 11.34822 1.107643 8.223784 1.015229
-4.811939 -0.1277816 1.596882 -4.370427 -8.701101
3.813262 2.450528 1.181098 -0.1650361 0.5555539
-1.888419 0.62385 8.3463 8.352096 3.270046
4.573216 13.47747 13.93706 2.843779 7.735818
8.742646 4.816902 6.228254 -4.942557 1.739188
14.16792 9.408215 18.80485 10.07137 -1.488828
-1.463761 -0.1891788 9.20859 9.965527 13.32188
3.174864 12.38252 12.05011 2.409731 -5.443507
12.58526 4.430584 2.69194 9.819239 4.556592
-4.942136 2.692135 -5.738444 12.07378 9.753498
