   AGE       C      MWD     MER    DELL    HPQ      IBM     AA      CAT     PG
  -12.17   -8.69   -8.37  -13.97  -16.55   -6.19    4.14  -16.40   -4.44   -8.89
    4.95    2.23    2.31   -0.64   34.49   -4.01    5.90    4.04    8.84   -0.84
   13.08    1.67    0.16   -3.99   21.34    5.67    1.51    0.12    0.17    5.41
  -11.06    3.90    2.20   -4.10   10.83   -5.29    2.06   -4.28    0.25    4.26
   19.70   13.11   12.28   13.21   28.77    8.81   10.56    5.81    8.52   16.35
   -1.44    3.95    1.82   -5.41   14.13   -1.47   -2.73   -4.05  -22.10    4.80
   -6.52   -5.84  -16.96    5.48   -7.57   -9.37   -5.74    9.09   -7.19   -0.55
   -8.77  -14.19   -7.44  -13.85   -0.62  -19.75   -8.17   -7.99  -12.64  -11.86
  -27.47  -27.07  -12.81   -9.76  -26.15   -4.26    3.80   -3.33   -2.36   -5.97
    4.09  -11.70   -1.86   -5.30   20.83  -22.99   -1.54  -15.13   -3.44    7.98
   11.35   24.24    8.69   10.13   22.94   14.80    8.39    2.71    0.33    4.82
    9.01    0.54    2.03    6.54   40.39    6.04   -1.11    4.45   13.72    3.96
   19.73   15.22    9.60   18.16   21.78   21.44   11.65   12.20    5.97   -8.46
   16.34   16.09   17.99   16.76   11.11   19.44    2.04   -0.88    9.30    2.03
   13.20   -1.31   17.24   21.34   12.38    7.01  -12.05    1.65  -12.85    4.28
    1.46   -3.83   -1.98    8.49  -18.45    1.78  -10.02    3.19   -0.37   -1.35
    7.12    7.20    8.30    8.15    5.43    5.66    3.75    4.91    8.21    1.03
  -10.44  -12.72  -10.78   -6.87   -1.47   -6.69   -8.95   -5.56   -5.05   -9.57
   19.42   13.95   15.66    7.68   16.88    5.45    3.78    4.76   -0.36    4.54
    2.08    5.88    2.55    1.37   13.03   -2.07   -3.57   -2.39   -3.75    2.96
   19.86    5.14    5.91   14.45    1.86   -6.58    6.53   -8.20   -6.49    1.21
    7.22    2.40    7.71    6.84  -25.88    1.35   -5.60   -0.57    7.82   -1.30
  -13.07  -10.69   -2.00   -7.14   -5.91   -4.85   -5.00   -8.07  -14.44   -3.52
   29.63   20.35   19.38   22.84    8.70   18.36   -4.12    9.70    6.02   15.56
   -5.93    5.40  -11.32   -3.49   24.07    3.63    0.81   -0.12    6.58   10.74
