    30yrs     20yrs     10yrs      5yrs      1yr
   0.00695   0.00695   0.00339   0.00030   0.00266
   0.00114   0.00114  -0.00664   0.00029   0.00089
   0.00919   0.00919   0.01223   0.00639  -0.00014
  -0.00293  -0.00293  -0.00404  -0.00331  -0.00048
   0.00752   0.00752   0.00762   0.00247   0.00043
   0.00029   0.00029   0.00088   0.00094   0.00065
   0.00176   0.00176  -0.00008  -0.00157  -0.00030
   0.00375   0.00375   0.00112   0.00258   0.00063
   0.00033   0.00033  -0.00102   0.00130   0.00048
   0.00243   0.00243   0.00569   0.00200   0.00109
  -0.00351  -0.00351  -0.00131   0.00225   0.00088
   0.00491   0.00491   0.00417   0.00169   0.00071
   0.00327   0.00327   0.00618   0.00393   0.00250
  -0.00056  -0.00056   0.00214   0.00134   0.00063
   0.00093   0.00093  -0.00118   0.00214   0.00062
   0.00482   0.00482   0.00407   0.00235   0.00051
   0.00504   0.00504   0.00549   0.00569   0.00134
   0.00183   0.00183   0.00297   0.00335   0.00105
  -0.00008  -0.00008   0.00170   0.00208   0.00001
   0.00207   0.00207  -0.00097   0.00023   0.00032
   0.00109   0.00109   0.00224   0.00141   0.00061
   0.00049   0.00049   0.00018   0.00172   0.00062
  -0.00006  -0.00006   0.00061   0.00146   0.00079
   0.00180   0.00180   0.00114   0.00207   0.00101
   0.00211   0.00211   0.00324   0.00105   0.00044
   0.00320   0.00320   0.00489   0.00155   0.00084
   0.00208   0.00208   0.00320   0.00195   0.00074
   0.00134   0.00134  -0.00051   0.00277   0.00109
   0.00278   0.00278   0.00209   0.00048   0.00054
   0.00078   0.00078   0.00076   0.00068   0.00072
   0.00363   0.00363   0.00291   0.00286   0.00096
   0.00269   0.00269   0.00402   0.00240   0.00089
   0.00141   0.00141   0.00085   0.00114   0.00054
   0.00120   0.00120   0.00090   0.00107   0.00057
   0.00237   0.00237   0.00178   0.00086   0.00030
   0.00422   0.00422   0.00240   0.00101   0.00078
   0.01266   0.01266   0.01050   0.00523   0.00228
   0.00767   0.00767   0.00597   0.00378   0.00061
   0.00205   0.00205   0.00667   0.00043   0.00084
   0.01603   0.01603   0.00806   0.00144   0.00044
   0.00563   0.00563   0.00063   0.00119   0.00056
   0.01688   0.01688   0.00591   0.00189   0.00097
  -0.00859  -0.00859  -0.00206  -0.00003   0.00061
   0.00259   0.00259   0.00212   0.00125   0.00077
   0.00542   0.00542   0.00274   0.00225   0.00075
   0.01043   0.01043   0.00440   0.00160   0.00089
   0.01255   0.01255   0.00517   0.00305   0.00061
   0.01943   0.01943   0.00639   0.00170   0.00078
   0.00252   0.00252   0.00253   0.00392   0.00184
   0.00318   0.00318   0.00386   0.00480   0.00127
   0.00101   0.00101   0.00008  -0.00382  -0.00007
  -0.01354  -0.01354  -0.00670  -0.00197   0.00036
  -0.00124  -0.00124   0.00043   0.00059   0.00062
   0.00700   0.00700   0.00386   0.00329   0.00062
  -0.00399  -0.00399  -0.00007  -0.00008   0.00058
  -0.01115  -0.01115  -0.00445  -0.00054   0.00024
  -0.00094  -0.00094  -0.00035  -0.00047   0.00059
   0.00738   0.00738   0.00317   0.00225   0.00079
  -0.00541  -0.00541  -0.00506  -0.00053   0.00057
   0.01448   0.01448   0.01020   0.00407   0.00070
  -0.00063  -0.00063   0.00228   0.00227   0.00178
   0.00210   0.00210   0.00323   0.00059   0.00063
   0.00198   0.00198   0.00138   0.00240   0.00105
  -0.00368  -0.00368  -0.00043  -0.00130   0.00045
   0.00334   0.00334   0.00213   0.00078   0.00122
   0.00102   0.00102  -0.00045   0.00078   0.00074
   0.00625   0.00625   0.00443   0.00027   0.00074
   0.00813   0.00813   0.00443   0.00320   0.00069
  -0.00435  -0.00435  -0.00130   0.00018   0.00049
  -0.00374  -0.00374  -0.00545  -0.00307   0.00069
  -0.01742  -0.01742  -0.00847  -0.00002   0.00047
  -0.01920  -0.01920  -0.01946   0.00101   0.00108
   0.00203   0.00203   0.00244   0.00146   0.00076
   0.00464   0.00464   0.00592   0.00181   0.00087
   0.00342   0.00342   0.00500   0.00176   0.00089
   0.00447   0.00447   0.00453   0.00191   0.00086
   0.01412   0.01412   0.01158   0.00534   0.00108
  -0.00841  -0.00841  -0.00796  -0.00084   0.00086
  -0.00213  -0.00213  -0.00224  -0.00024   0.00087
   0.00014   0.00014  -0.00046  -0.00044   0.00037
   0.00140   0.00140   0.00347   0.00100   0.00081
   0.00074   0.00074  -0.00260   0.00127   0.00094
   0.00758   0.00758   0.00758   0.00205   0.00116
   0.00562   0.00562   0.00562   0.00283   0.00150
   0.00817   0.00817   0.00817   0.00282   0.00119
   0.00489   0.00489   0.00489   0.00111   0.00091
   0.00745   0.00745   0.00745   0.00249   0.00115
   0.00115   0.00115   0.00115   0.00146   0.00144
   0.00195   0.00195   0.00195   0.00264   0.00099
   0.01671   0.01671   0.01671   0.00572   0.00191
   0.00335   0.00335   0.00334   0.00155   0.00144
   0.01111   0.01111   0.01111   0.00222   0.00082
  -0.00115  -0.00115  -0.00114   0.00068   0.00060
   0.00188   0.00188   0.00188   0.00074   0.00080
   0.00210   0.00210   0.00210   0.00068   0.00075
