    CPI        CEN
    0.3591    0.8445
    0.1791    0.3108
    0.1787    0.3564
    0.1784    0.4887
    0.5333    0.4266
    0.5305   -0.2605
    0.5277    0.5967
    0.5250    0.1458
    0.5222   -0.0561
    0.5195    0.1132
    0.3448    0.4025
    0.5150    0.1884
    0.5124    0.1391
    1.0170    0.4593
    0.5046    0.5145
    0.6689    0.5085
    0.3328    0.5279
    0.4971    0.2232
    0.4946    0.1358
    0.4922    0.3870
    0.3268    0.2819
    0.4882    0.3769
    0.6473    0.7590
    0.4827    0.3662
    0.6400    0.2960
    0.4773    0.1430
    0.6329    0.2494
    0.7856    0.6721
    0.9346    0.3923
    0.7722    0.5976
    0.7663   -0.2629
    0.6088    0.3543
    0.9063    0.2475
    0.8982    0.4778
    0.5944    0.3617
    0.5908    0.0984
    0.8798    0.3755
    1.0167    0.3882
    1.0065    0.1534
    0.9964   -0.3836
    1.1268    0.2321
    1.1142    0.3532
    1.1020    0.3308
    0.9543   -0.2325
    0.9453    0.5693
    1.0695    0.0644
    1.0582    0.1709
    1.1773    0.3599
    1.4203   -0.0541
    1.2739    0.1161
    1.3828   -0.2824
    0.9938   -0.4826
    0.9840   -0.2907
    0.9745   -0.2662
    0.1211    0.1155
    0.7238    0.0283
    0.8378    0.2557
    0.9490    0.2419
    1.0570    0.2293
    0.9303    0.0895
    0.9217    0.3216
    0.9132    0.2358
    0.6795    0.3786
    0.5628    0.4810
    0.6711   -0.0079
    0.8879   -0.7450
    1.0989    0.3931
    0.7621   -0.0040
    0.9714   -0.6227
    0.3217    0.3133
    0.4273   -0.1704
    0.3193   -0.5625
    0.3183    0.0472
    0.3173    0.0702
    0.0000   -0.0903
    0.3163   -0.0963
    0.9429    0.5408
    1.1405   -0.5740
    0.5142   -0.0502
    0.2049    0.1406
    0.0000   -0.1296
    0.4086   -0.2908
   -0.1020   -0.1040
   -0.3066   -0.0807
    0.2045    0.1302
    0.1021   -0.0727
    0.1020    0.0908
    0.7110    0.3834
    0.4040    0.0824
    0.2014    0.9896
    0.4016    0.5697
    0.3002    0.3944
    0.2993    0.4007
    0.3976    0.0226
    0.2972    0.6739
    0.2963    0.2596
    0.6880    0.1988
    0.4885    0.6019
    0.2920    0.1376
