   AA     AGE    CAT     F     FDX     GM    HPQ    KMB    MEL    NYT    PG    TRB    TXN    SP5
 -16.40 -12.17  -4.44  -0.06  -2.28  -2.12  -6.19 -11.01 -10.77  -6.30  -8.89 -13.04  -7.61  -7.52
   4.04   4.95   8.84   6.02  10.47   8.97  -4.01  -5.20   0.34  -4.62  -0.84  -0.37   4.97   0.21
   0.12  13.08   0.17   2.06  10.84   1.57   5.67   3.21  -0.17  -0.66   5.41   2.36   2.69   1.77
  -4.28 -11.06   0.25  -5.67  -2.44  -4.19  -5.29  -0.65  -2.20 -10.60   4.26  -7.98  -6.85  -3.34
   5.81  19.70   8.52   3.89 -16.17  10.94   8.81   8.83  11.85  11.59  16.35   8.82  22.88   8.55
  -4.05  -1.44 -22.10  -5.79  -2.81  -2.70  -1.47   1.55  -7.76  -0.12   4.80  -0.64  -5.87  -1.53
   9.09  -6.52  -7.19  -4.06  -8.65  -2.73  -9.37   6.69  -5.52 -11.52  -0.55  -5.29 -19.88  -1.16
  -7.99  -8.77 -12.64 -16.58  -6.33 -13.76 -19.75  -3.48 -19.50 -11.60 -11.86  -7.35 -13.90 -10.05
  -3.33 -27.47  -2.36 -12.08  -8.26  -9.42  -4.26  -8.38   0.02  -7.19  -5.97  -3.90   1.39  -5.73
 -15.13   4.09  -3.44  -8.29  -9.56   0.78 -22.99   9.66  -5.10  -3.41   7.98  -9.10 -15.26  -1.27
   2.71  11.35   0.33  -1.94 -10.06   0.77  14.80   4.73  26.08   6.02   4.82  10.53  31.18   5.40
   4.45   9.01  13.72  -3.30  12.83  -6.38   6.04   6.29  -0.56  12.45   3.96  -5.61  20.17   1.92
  12.20  19.73   5.97   7.46  25.68   4.94  21.44  -0.37  -2.73   9.18  -8.46  22.18  -2.16   3.63
  -0.88  16.34   9.30  16.02  -4.00   9.57  19.44   1.73  13.17  -2.64   2.03  -5.14  10.54   6.23
   1.65  13.20 -12.85  -1.26 -12.61  -4.92   7.01   2.40   0.47   1.78   4.28   1.64  -3.97   1.73
   3.19   1.46  -0.37   1.15  -3.23  -5.77   1.78   3.23   3.72  -1.58  -1.35   4.01   0.47  -0.44
   4.91   7.12   8.21  13.01  13.38  21.29   5.66   6.00  10.66   4.11   1.03   8.38  -3.25   3.40
  -5.56 -10.44  -5.05  -2.84  -4.51  -5.97  -6.69  -1.12  -0.88   3.86  -9.57  -8.38 -15.02  -5.25
   4.76  19.42  -0.36  -6.30   7.98  -2.92   5.45   0.32  10.33  -8.24   4.54   2.40  -2.72   4.02
  -2.39   2.08  -3.75  -7.53  -5.53  -3.84  -2.07   0.32   0.70   0.18   2.96   2.32  -3.14   1.52
  -8.20  19.86  -6.49  -4.05 -12.11  -2.08  -6.58  -7.45  -0.06   0.13   1.21 -11.61 -10.54  -2.35
