date            F             SP
19650129       0.032184      0.033156
19650226      -0.031461     -0.001485
19650331       0.034803     -0.014526
19650430       0.112108      0.034239
19650528      -0.073171     -0.007743
19650630      -0.076754     -0.048632
19650730       0.021378      0.013433
19650831       0.004651      0.022522
19650930       0.044393      0.032006
19651029       0.097987      0.027345
19651130      -0.080247     -0.008764
19651231      -0.026846      0.008951
19660131      -0.007356      0.004869
19660228      -0.014052     -0.017873
19660331      -0.042755     -0.021815
19660429      -0.007940      0.020509
19660531      -0.037975     -0.054140
19660630      -0.044737     -0.016138
19660729       0.007713     -0.013453
19660831      -0.052632     -0.077751
19660930      -0.023392     -0.007004
19661031       0.020359      0.047544
19661130      -0.059524      0.003117
19661230      -0.025316     -0.001492
19670131       0.200649      0.078178
19670228       0.000000      0.001963
19670331       0.123288      0.039410
19670428       0.075122      0.042239
19670531      -0.077982     -0.052441
19670630       0.017413      0.017512
19670731       0.026406      0.045344
19670831      -0.021687     -0.011715
19670929       0.046798      0.032785
19671031      -0.042824     -0.029056
19671130       0.044776      0.001065
19671229       0.019048      0.026277
19680131      -0.040187     -0.043848
19680229      -0.017241     -0.031223
19680329      -0.027569      0.009400
19680430       0.197938      0.081929
19680531      -0.017391      0.011169
19680628      -0.070796      0.009120
19680730      -0.007619     -0.018478
19680830      -0.004854      0.011459
19680930       0.112195      0.038539
19681031       0.058772      0.007208
19681129      -0.079498      0.047964
19681231      -0.036364     -0.041617
19690131      -0.035849     -0.008184
19690228      -0.012376     -0.047374
19690328       0.022556      0.034444
19690430       0.031373      0.021476
19690529      -0.038462     -0.002218
19690630      -0.055000     -0.055577
19690731      -0.074603     -0.060178
19690829       0.095652      0.040074
19690930      -0.087302     -0.025024
19691031       0.040000      0.044244
19691128      -0.042373     -0.035274
19691231      -0.029499     -0.018655
19700130      -0.079635     -0.076472
19700227       0.137584      0.052693
19700331       0.079646      0.001453
19700430      -0.057923     -0.090483
19700529      -0.008824     -0.060967
19700630       0.041543     -0.050033
19700731       0.039316      0.073295
19700831       0.094444      0.044459
19700930       0.050761      0.032998
19701030      -0.027053     -0.011400
19701130       0.042714      0.047447
19701231       0.084337      0.056766
19710129       0.010667      0.040477
19710226       0.026667      0.009074
19710331       0.043290      0.036796
19710430       0.101245      0.036288
19710528      -0.068441     -0.041558
19710630       0.020408      0.000703
19710730       0.018400     -0.041324
19710831       0.101190      0.036095
19710930       0.001802     -0.006968
19711029      -0.014029     -0.041794
19711130      -0.033149     -0.002547
19711231       0.070476      0.086179
19720131       0.062633      0.018121
19720229      -0.062500      0.025303
19720330       0.066667      0.005912
19720428      -0.022973      0.004384
19720531      -0.068063      0.017275
19720630      -0.043071     -0.021821
19720731       0.022309      0.002333
19720831       0.042553      0.034454
19720929      -0.011132     -0.004861
19721031       0.004503      0.009317
19721130       0.137736      0.045617
19721229       0.056385      0.011828
19730131      -0.058713     -0.017111
19730228      -0.111111     -0.037490
19730330      -0.039773     -0.001433
19730430      -0.020513     -0.040800
19730531      -0.067210     -0.018884
19730629      -0.045852     -0.006575
19730731       0.048055      0.037982
19730831      -0.017778     -0.036685
19730928       0.083710      0.040096
19731031      -0.111900     -0.001291
19731130      -0.193317     -0.113861
19731231      -0.041420      0.016569
19740131       0.143210     -0.010046
19740228       0.030220     -0.003624
19740329       0.048000     -0.023280
19740430       0.021374     -0.039051
19740531       0.048101     -0.033551
19740628      -0.053140     -0.014665
19740731      -0.090816     -0.077791
19740830      -0.091429     -0.090279
19740930      -0.072327     -0.119335
19741031      -0.103729      0.163047
19741129      -0.042636     -0.053180
19741231       0.080972     -0.020151
19750131       0.125094      0.122812
19750228      -0.102041      0.059886
19750331       0.125000      0.021694
19750430      -0.014141      0.047265
19750530       0.027778      0.044101
19750630       0.111486      0.044323
19750731      -0.037082     -0.067654
19750829       0.012821     -0.021070
19750930      -0.082278     -0.034645
19751031       0.126897      0.061643
19751128       0.062112      0.024708
19751231       0.029240     -0.011508
