Mon Day Year IBM SP5
2 1 1962 -1.192857 1.613868
3 1 1962 -0.8032172 -0.5877732
4 2 1962 -15.68425 -6.397314
5 1 1962 -14.71001 -8.991397
6 1 1962 -14.68911 -8.538143
7 2 1962 13.03618 6.162332
8 1 1962 2.739897 1.516859
9 4 1962 -11.44104 -4.940774
10 1 1962 -2.454111 0.4433024
11 1 1962 14.43423 9.67246
12 3 1962 -2.173999 1.340160
1 2 1963 8.426034 4.795969
2 1 1963 -5.715841 -2.927636
3 1 1963 4.700604 3.484993
4 1 1963 9.716375 4.737998
5 1 1963 3.189336 1.422499
6 3 1963 -8.905178 -2.040450
7 1 1963 -0.4914015 -0.3465707
8 1 1963 2.43321 4.759777
9 3 1963 1.432005 -1.109581
10 1 1963 9.055958 3.170947
11 1 1963 -1.746769 -1.059505
12 2 1963 4.311012 2.414957
1 2 1964 6.532935 2.657002
2 3 1964 5.010682 0.9816664
3 2 1964 4.412480 1.505322
4 1 1964 -4.412480 0.6059095
5 1 1964 5.129329 1.138722
6 1 1964 -0.3577821 1.629062
7 1 1964 -3.278982 1.807534
8 3 1964 -4.934587 -1.636301
9 1 1964 -0.781254 2.831344
10 1 1964 -4.000533 0.8045476
11 2 1964 -1.646128 -0.5198499
12 1 1964 -0.8333382 0.3901406
1 4 1965 9.188095 3.261853
2 1 1965 1.515181 -0.1485799
3 1 1965 -0.3766483 -1.463244
4 1 1965 6.571707 3.366553
5 3 1965 -1.423512 -0.7773373
6 1 1965 -4.02248 -4.985384
7 1 1965 4.380262 1.334377
8 2 1965 4.19642 2.227212
9 1 1965 2.702867 3.150489
10 1 1965 3.922071 2.697828
11 1 1965 -1.615544 -0.880297
12 1 1965 -5.009395 0.8911165
1 3 1966 -0.6872879 0.4856736
2 1 1966 3.722934 -1.803417
3 1 1966 0.3316753 -2.205687
4 1 1966 7.647036 2.030132
5 2 1966 -2.170628 -5.566085
6 1 1966 -3.509132 -1.627004
7 1 1966 -2.965621 -1.354423
8 1 1966 -6.20889 -8.094024
9 1 1966 -0.7142888 -0.7028533
10 3 1966 4.554202 4.644877
11 1 1966 12.23389 0.3112359
12 1 1966 -1.219527 -0.1492723
1 3 1967 7.388884 7.527213
2 1 1967 7.410797 0.1960898
3 1 1967 4.652002 3.865325
4 3 1967 9.622803 4.137173
5 1 1967 -6.148508 -5.386632
6 1 1967 6.377604 1.736077
7 3 1967 2.038576 4.434623
8 1 1967 -1.581954 -1.178420
9 1 1967 9.34447 3.225917
10 2 1967 7.972347 -3.58967
11 1 1967 3.204798 0.7474674
12 1 1967 2.383248 2.593730
1 2 1968 -5.205636 -4.48382
2 1 1968 -2.316706 -3.172072
3 1 1968 5.509465 0.9356272
4 1 1968 10.01715 7.741261
5 1 1968 5.371511 1.244025
6 3 1968 -0.7955491 0.907905
7 1 1968 -4.408877 -1.865045
8 1 1968 -0.8382279 1.139382
9 3 1968 0 3.781525
10 1 1968 -8.793007 0.7181708
11 1 1968 8.455739 4.684963
12 2 1968 -5.914767 -4.250746
1 2 1969 -6.09607 -0.8217768
2 3 1969 -0.7648221 -4.853294
3 3 1969 6.860892 3.386419
4 1 1969 4.382822 2.124836
5 1 1969 -2.606577 -0.2220614
6 2 1969 5.813603 -5.718116
7 1 1969 -4.068358 -6.206487
8 1 1969 6.529516 3.929191
9 2 1969 0 -2.534197
10 1 1969 4.28297 4.205834
11 3 1969 -0.623055 -3.467587
12 1 1969 2.010895 -1.883092
1 2 1970 -8.29822 -7.955402
2 2 1970 1.486402 5.13521
3 2 1970 -0.4930166 0.145146
4 1 1970 -12.81330 -9.48417
5 1 1970 -6.578774 -6.290427
6 1 1970 -10.53605 -5.132767
7 1 1970 1.324523 7.07332
8 3 1970 5.337446 4.349874
9 1 1970 9.133328 3.353348
10 1 1970 1.319529 -1.253374
11 2 1970 4.396312 4.63562
12 1 1970 3.348330 5.521335
1 4 1971 2.397375 3.967973
2 1 1971 3.654892 0.9032922
3 1 1971 6.014471 3.613506
4 1 1971 0.1534920 3.564462
5 3 1971 -8.64538 -4.244669
6 1 1971 -3.056265 -0.9378378
7 1 1971 -8.450668 -3.212135
8 2 1971 4.762805 3.545924
9 1 1971 -0.1790511 -0.6991973
10 1 1971 -1.081092 -4.269226
11 1 1971 2.150621 -0.2550209
12 1 1971 9.627683 8.266638
1 3 1972 8.929005 1.795903
2 1 1972 0.440853 2.498824
3 1 1972 3.741444 0.5894202
4 3 1972 0.9838449 0.4374745
5 1 1972 3.301538 1.712749
6 1 1972 -1.362419 -2.206209
7 3 1972 2.171049 0.2330677
8 1 1972 2.256234 3.387362
9 1 1972 -0.526317 -0.4872776
10 2 1972 -5.282203 0.9273915
11 1 1972 1.791916 4.460761
12 1 1972 2.695581 1.175883
1 2 1973 8.045179 -1.725949
2 1 1973 -0.6153866 -3.821114
3 1 1973 0 -0.1433692
4 2 1973 -5.585208 -4.165553
5 1 1973 -3.318154 -1.906438
6 1 1973 0.6724975 -0.6596267
7 2 1973 -0.8075414 3.727841
8 1 1973 -3.997776 -3.737433
9 4 1973 -15.32135 3.931294
10 1 1973 8.18066 -0.1291990
11 1 1973 -5.11343 -12.08814
12 3 1973 -7.251941 1.643363
1 2 1974 -0.51414 -1.009693
2 1 1974 -2.611114 -0.3630898
3 1 1974 -0.8857454 -2.355524
4 1 1974 -3.623585 -3.98338
5 1 1974 -6.085528 -3.412685
6 3 1974 0 -1.477405
7 1 1974 -5.232582 -8.098307
8 1 1974 -4.220035 -9.461694
9 3 1974 -18.9242 -12.70777
10 1 1974 17.40408 15.10432
11 1 1974 -5.62578 -5.464625
12 2 1974 -5.471043 -2.035730
1 2 1975 11.31540 11.58364
2 3 1975 14.41192 5.816106
3 3 1975 -4.247743 2.146187
4 1 1975 1.565590 4.618188
5 1 1975 3.059512 4.315604
6 2 1975 -2.865526 4.336839
7 1 1975 -9.337407 -7.005147
8 1 1975 -1.284814 -2.129557
9 2 1975 1.071822 -3.525988
10 1 1975 12.03857 5.981773
11 3 1975 7.2892 2.440769
12 1 1975 -0.8826183 -1.157484
1 2 1976 13.88364 11.18149
2 2 1976 -0.1544402 -1.146744
3 1 1976 2.442870 3.022751
4 1 1976 -3.374553 -1.105632
5 3 1976 2.007789 -1.446859
6 1 1976 7.509045 4.011102
7 1 1976 -1.572584 -0.8087855
8 2 1976 1.288493 -0.5136915
9 1 1976 2.805233 2.238864
10 1 1976 -3.519012 -2.248581
11 1 1976 0.5714301 -0.7804918
12 1 1976 2.947582 5.116596
1 3 1977 -1.392780 -5.18518
2 1 1977 1.254372 -2.189832
3 1 1977 0.1384083 -1.412453
4 1 1977 -6.573795 0.02031901
5 2 1977 -4.378058 -2.384981
6 1 1977 7.289471 4.436129
7 1 1977 1.565868 -1.635515
8 1 1977 0.9838449 -2.126652
9 1 1977 -2.693288 -0.2483188
10 3 1977 -1.447203 -4.437642
11 1 1977 3.57948 2.66084
12 1 1977 3.455769 0.2843155
1 3 1978 -2.894758 -6.348755
2 1 1978 -4.432463 -2.507364
3 1 1978 -6.492846 2.462536
4 3 1978 12.17619 8.196372
5 1 1978 -1.811896 0.4225286
6 1 1978 -0.4228336 -1.774182
7 3 1978 8.783495 5.250684
8 1 1978 4.798901 2.559340
