Year Mon Day mort tb3m 
1971 4 1 7.31 3.86
1971 5 1 7.43 4.14
1971 6 1 7.53 4.75
1971 7 1 7.6 5.4
1971 8 1 7.7 4.94
1971 9 1 7.69 4.69
1971 10 1 7.63 4.46
1971 11 1 7.55 4.22
1971 12 1 7.48 4.01
1972 1 1 7.44 3.38
1972 2 1 7.33 3.2
1972 3 1 7.3 3.73
1972 4 1 7.29 3.71
1972 5 1 7.37 3.69
1972 6 1 7.37 3.91
1972 7 1 7.4 3.98
1972 8 1 7.4 4.02
1972 9 1 7.42 4.66
1972 10 1 7.42 4.74
1972 11 1 7.43 4.78
1972 12 1 7.44 5.07
1973 1 1 7.44 5.41
1973 2 1 7.44 5.6
1973 3 1 7.46 6.09
1973 4 1 7.54 6.26
1973 5 1 7.65 6.36
1973 6 1 7.73 7.19
1973 7 1 8.05 8.01
1973 8 1 8.5 8.67
1973 9 1 8.82 8.29
1973 10 1 8.77 7.22
1973 11 1 8.58 7.83
1973 12 1 8.54 7.45
1974 1 1 8.54 7.77
1974 2 1 8.46 7.12
1974 3 1 8.41 7.96
1974 4 1 8.58 8.33
1974 5 1 8.97 8.23
1974 6 1 9.09 7.9
1974 7 1 9.28 7.55
1974 8 1 9.59 8.96
1974 9 1 9.96 8.06
1974 10 1 9.98 7.46
1974 11 1 9.79 7.47
1974 12 1 9.62 7.15
1975 1 1 9.43 6.26
1975 2 1 9.11 5.5
1975 3 1 8.9 5.49
1975 4 1 8.82 5.61
1975 5 1 8.91 5.23
1975 6 1 8.89 5.34
1975 7 1 8.89 6.13
1975 8 1 8.94 6.44
1975 9 1 9.13 6.42
1975 10 1 9.22 5.96
1975 11 1 9.15 5.48
1975 12 1 9.1 5.44
1976 1 1 9.02 4.87
1976 2 1 8.81 4.88
1976 3 1 8.76 5
1976 4 1 8.73 4.86
1976 5 1 8.77 5.2
1976 6 1 8.85 5.41
1976 7 1 8.93 5.23
1976 8 1 9 5.14
1976 9 1 8.98 5.08
1976 10 1 8.93 4.92
1976 11 1 8.81 4.75
1976 12 1 8.79 4.35
1977 1 1 8.72 4.62
1977 2 1 8.67 4.67
1977 3 1 8.69 4.6
1977 4 1 8.75 4.54
1977 5 1 8.82 4.96
1977 6 1 8.86 5.02
1977 7 1 8.94 5.19
1977 8 1 8.94 5.49
1977 9 1 8.9 5.81
1977 10 1 8.92 6.16
1977 11 1 8.92 6.1
1977 12 1 8.96 6.07
1978 1 1 9.02 6.44
1978 2 1 9.16 6.45
1978 3 1 9.2 6.29
1978 4 1 9.36 6.29
1978 5 1 9.58 6.41
1978 6 1 9.71 6.73
1978 7 1 9.74 7.01
1978 8 1 9.79 7.08
1978 9 1 9.76 7.85
1978 10 1 9.86 7.99
1978 11 1 10.11 8.64
1978 12 1 10.35 9.08
1979 1 1 10.39 9.35
1979 2 1 10.41 9.32
1979 3 1 10.43 9.48
1979 4 1 10.5 9.46
1979 5 1 10.69 9.61
1979 6 1 11.04 9.06
1979 7 1 11.09 9.24
1979 8 1 11.09 9.52
1979 9 1 11.3 10.26
1979 10 1 11.64 11.7
1979 11 1 12.83 11.79
1979 12 1 12.9 12.04
1980 1 1 12.88 12
1980 2 1 13.04 12.86
1980 3 1 15.28 15.2
1980 4 1 16.33 13.2
1980 5 1 14.26 8.58
1980 6 1 12.71 7.07
1980 7 1 12.19 8.06
1980 8 1 12.56 9.13
1980 9 1 13.2 10.27
1980 10 1 13.79 11.62
1980 11 1 14.21 13.73
1980 12 1 14.79 15.49
1981 1 1 14.9 15.02
1981 2 1 15.13 14.79
1981 3 1 15.4 13.36
1981 4 1 15.58 13.69
1981 5 1 16.4 16.3
1981 6 1 16.7 14.73
1981 7 1 16.83 14.95
1981 8 1 17.29 15.51
1981 9 1 18.16 14.7
1981 10 1 18.45 13.54
1981 11 1 17.83 10.86
1981 12 1 16.92 10.85
1982 1 1 17.4 12.28
1982 2 1 17.6 13.48
1982 3 1 17.16 12.68
1982 4 1 16.89 12.7
1982 5 1 16.68 12.09
