Date      pfe      mrk 
19650129 0.103535 0.042821
19650226 0.009153 -0.002415
19650331 0.002278 0.009685
19650430 0.086364 0.093976
19650528 -0.052301 -0.035242
19650630 -0.062084 -0.002283
19650730 0.08747 0.036782
19650831 0.084783 0.088692
19650930 0 0.002037
19651029 0.054326 0.136735
19651130 0.084733 -0.016158
19651231 0.053191 0.036765
19660131 0.001684 0.001773
19660228 -0.027899 0.037168
19660331 -0.043403 0.058703
19660429 -0.041742 -0.02589
19660531 -0.075 -0.018272
19660630 0.069959 0.051438
19660729 0.026923 -0.035541
19660831 -0.194007 -0.075377
19660930 0.121495 0.042391
19661031 0.070833 0.026178
19661130 0.080545 0.082313
19661230 0.016334 -0.028481
19670131 0.135714 -0.006515
19670228 0.017925 0.032787
19670331 -0.020155 0.039365
19670428 0.075949 0.039877
19670531 -0.021471 -0.091445
19670630 -0.015083 0.069481
19670731 0.067381 0.07622
19670831 -0.0066 -0.002833
19670929 -0.052174 -0.007386
19671031 -0.06422 -0.048851
19671130 -0.04183 0.037764
19671229 0.036082 -0.01048
19680131 -0.129353 -0.06963
19680229 -0.119238 -0.012739
19680329 0.058696 0.02129
19680430 0.123203 0.104762
19680531 0.066545 0.017241
19680628 -0.018933 -0.00113
19680730 -0.017544 -0.024148
19680830 -0.070714 0.035226
19680930 0.030888 -0.050847
19681031 0.007491 0.040179
19681129 0.094424 0.035765
19681231 0.030822 0.001657
19690131 0.056478 0.033333
19690228 -0.096226 -0.102151
19690328 0.062937 0.050299
19690430 0.069079 0.028653
19690529 0.041231 0.033426
19690630 -0.043027 0.003504
19690731 -0.034109 -0.018893
19690829 0.121669 0.056396
19690930 -0.031609 -0.007031
19691031 0.166172 0.106719
19691128 0.034606 0.019048
19691231 0.023515 0.062617
19700130 -0.013301 -0.106195
19700227 0.094608 0.079208
19700331 -0.058427 -0.059633
19700430 -0.069212 -0.07598
19700529 -0.057692 -0.108753
19700630 -0.011429 0.043155
19700731 0 -0.070301
19700831 0.095436 -0.012346
19700930 0.05 0.1125
19701030 0.018116 -0.011299
19701130 0.002135 0.011429
19701231 0.039286 0.124859
19710129 0.024055 -0.037879
19710226 -0.003356 0.010499
19710331 0.010774 0.045974
19710430 0.0301 0.036205
19710528 -0.022727 0.00241
19710630 0.027243 -0.015144
19710730 -0.032468 0.008589
19710831 0.111409 0.042579
19710930 -0.042424 0.052975
19711029 -0.066456 0.023385
19711130 0.010169 0.026115
19711231 0.12953 0.056628
19720131 -0.098507 0.048387
19720229 0.106623 0.026923
19720330 -0.039039 0.044382
19720428 -0.021875 0.045905
19720531 0.048562 0.006885
19720630 0.036697 0.067009
19720731 0.014749 0.086817
19720831 -0.002093 -0.032544
19720929 0.002924 0.006422
19721031 -0.043732 0.042683
19721130 0.072195 -0.00731
19721229 -0.02 0.053549
19730131 -0.023324 0.054698
19730228 0.015761 -0.015957
19730330 -0.026549 0.036973
