Date            PG            VW
19650129      -0.040337      0.038646
19650226      -0.030547      0.006947
19650331      -0.021559     -0.009715
19650430       0.030000      0.033652
19650528      -0.021523     -0.004350
19650630      -0.021997     -0.051868
19650730       0.025433      0.016759
19650831      -0.030560      0.030883
19650930       0.005254      0.031952
19651029      -0.014460      0.029271
19651130       0.017794      0.003065
19651231      -0.029720      0.013545
19660131       0.009009      0.012122
19660228      -0.071942     -0.008621
19660331       0.023256     -0.020923
19660429      -0.056818      0.024837
19660531       0.036437     -0.052539
19660630       0.003906     -0.010317
19660729       0.048638     -0.012870
19660831       0.035514     -0.075388
19660930       0.037906     -0.006958
19661031       0.050435      0.042294
19661130      -0.020000      0.017516
19661230      -0.006803      0.006210
19670131       0.079452      0.085530
19670228      -0.009585      0.010945
19670331       0.085484      0.043384
19670428       0.015453      0.041609
19670531       0.010309     -0.039293
19670630       0.008746      0.026903
19670731       0.126301      0.049189
19670831      -0.025806     -0.006282
19670929      -0.006623      0.034286
19671031      -0.050133     -0.027433
19671130      -0.011299      0.007902
19671229       0.054286      0.033699
19680131      -0.093767     -0.036330
19680229       0.024096     -0.033624
19680329       0.026471      0.005116
19680430       0.084241      0.094148
19680531      -0.011968      0.027041
19680628       0.000000      0.011527
19680730      -0.008345     -0.022024
19680830       0.012295      0.018038
19680930      -0.056680      0.044454
19681031       0.016881      0.009041
19681129       0.113314      0.058502
19681231      -0.119593     -0.033873
19690131      -0.004046     -0.006711
19690228      -0.029240     -0.053640
19690328       0.040663      0.030506
19690430       0.024891      0.020526
19690529       0.072546      0.005040
19690630      -0.055703     -0.067387
19690731       0.015730     -0.065172
19690829       0.058496      0.051490
19690930       0.026316     -0.022590
19691031       0.136154      0.055638
19691128      -0.038593     -0.032164
19691231       0.034238     -0.019681
19700130       0.019635     -0.073254
19700227      -0.015766      0.056706
19700331      -0.002288     -0.004729
19700430      -0.079587     -0.105318
19700529      -0.016311     -0.064346
19700630      -0.040816     -0.051075
19700731       0.113830      0.074169
19700831       0.002404      0.050036
19700930       0.014388      0.047536
19701030       0.039716     -0.018208
19701130       0.086957      0.050448
19701231      -0.023158      0.060723
19710129       0.014655      0.052030
19710226       0.000000      0.016913
19710331       0.066239      0.044778
19710430      -0.024449      0.033332
19710528      -0.016529     -0.036409
19710630       0.088235      0.003119
19710730       0.034749     -0.040283
19710831       0.080675      0.042511
19710930      -0.013889     -0.005016
19711029       0.005282     -0.040682
19711130       0.008803     -0.001262
19711231       0.095986      0.091257
19720131       0.023885      0.028383
19720229       0.073437      0.031349
19720330       0.032023      0.008722
19720428       0.036671      0.005505
19720531       0.076503      0.016375
19720630      -0.053299     -0.020896
19720731       0.039035     -0.004254
19720831       0.003886      0.035966
19720929       0.011613     -0.007671
19721031       0.075408      0.008676
19721130       0.029762      0.049764
19721229       0.031214      0.011243
19730131      -0.021166     -0.027576
19730228      -0.017241     -0.044487
19730330      -0.054971     -0.007937
19730430      -0.009752     -0.051781
19730531      -0.021330     -0.024507
19730629       0.066667     -0.008684
19730731       0.092067      0.057102
19730831      -0.129282     -0.029657
19730928       0.005076      0.054007
19731031       0.046212     -0.000301
19731130      -0.078788     -0.120832
19731231      -0.031579      0.011404
19740131      -0.022283      0.004425
19740228      -0.015363      0.002343
19740329       0.004255     -0.023367
19740430       0.064407     -0.045956
19740531       0.045333     -0.041982
19740628       0.017857     -0.022942
19740731      -0.044361     -0.070879
19740830      -0.127800     -0.087756
19740930      -0.117825     -0.109718
19741031       0.194521      0.165585
19741129      -0.046110     -0.041047
19741231      -0.015106     -0.027005
19750131       0.127301      0.141600
19750228       0.032832      0.058411
19750331       0.014570      0.030191
19750430       0.000000      0.046497
19750530       0.018373      0.055140
19750630       0.011598      0.051473
19750731      -0.082803     -0.060385
19750829      -0.055866     -0.023557
19750930      -0.017751     -0.038010
19751031       0.075301      0.055857
19751128       0.047887      0.031223
19751231      -0.043011     -0.010998
19760130       0.039326      0.126011
19760227      -0.077446      0.007314
19760331       0.066274      0.026799
19760430      -0.013260     -0.010389
19760528      -0.004225     -0.009369
19760630       0.073550      0.044487
19760730       0.017655     -0.006158
19760831      -0.009115     -0.001434
19760930       0.015769      0.024484
19761029      -0.011125     -0.020372
19761130      -0.014474      0.005364
19761231       0.000000      0.061591
19770131      -0.073164     -0.036337
19770228      -0.043541     -0.015760
19770331      -0.040971     -0.009246
19770429      -0.010759      0.004952
19770531      -0.043548     -0.010785
19770630       0.080944      0.051367
19770729       0.003432     -0.012810
19770831       0.081505     -0.013352
19770930      -0.013043      0.001574
19771031      -0.018796     -0.039280
19771130       0.030166      0.045432
19771230       0.005857      0.008218
19780131      -0.073945     -0.055202
19780228      -0.026941     -0.009275
19780331      -0.034202      0.034013
19780428       0.150084      0.082841
19780531       0.013314      0.023238
19780630       0.004380     -0.010751
19780731       0.059593      0.056749
19780831      -0.035961      0.042352
19780929      -0.001435     -0.006891
19781031      -0.043103     -0.110997
19781130       0.039394      0.033792
19781229       0.036443      0.017710
19790131      -0.040788      0.049489
19790228      -0.038462     -0.026766
19790330      -0.003077      0.065618
19790430      -0.001852      0.008522
19790531       0.007813     -0.013576
19790629      -0.046512      0.046850
19790731      -0.024715      0.014991
19790831       0.080944      0.064728
19790928      -0.035881      0.001428
19791031      -0.027832     -0.072660
19791130      -0.003367      0.063603
