year mon day c1t c3t 
1962 1 12 0.08 0.05
1962 1 19 -0.03 0.05
1962 1 26 -0.03 -0.03
1962 2 2 0.03 0.03
1962 2 9 0 -0.04
1962 2 16 0.02 -0.05
1962 2 23 -0.02 -0.06
1962 3 2 -0.09 -0.13
1962 3 9 -0.05 0
1962 3 16 -0.05 0
1962 3 23 -0.11 -0.15
1962 3 30 -0.03 0.02
1962 4 6 -0.05 -0.05
1962 4 13 0.06 0.04
1962 4 20 0.03 -0.02
1962 4 27 0.06 0.07
1962 5 4 0 0.01
1962 5 11 -0.05 -0.06
1962 5 18 0.03 0.03
1962 5 25 -0.01 0.01
1962 6 1 -0.05 -0.06
1962 6 8 -0.02 -0.02
1962 6 15 0.01 -0.02
1962 6 22 0.07 0.07
1962 6 29 0.12 0.12
1962 7 6 0.06 0.08
1962 7 13 0.05 0.03
1962 7 20 0.06 0.02
1962 7 27 -0.01 -0.03
1962 8 3 -0.02 -0.02
1962 8 10 -0.02 -0.06
1962 8 17 -0.07 -0.07
1962 8 24 -0.06 -0.07
1962 8 31 -0.04 0.01
1962 9 7 0.02 0.04
1962 9 14 -0.07 -0.02
1962 9 21 -0.02 -0.01
1962 9 28 -0.01 -0.04
1962 10 5 -0.05 -0.07
1962 10 12 0.01 0.02
1962 10 19 -0.03 0
1962 10 26 0.02 0.04
1962 11 2 0 0
1962 11 9 0 0
1962 11 16 0.01 0.03
1962 11 23 0.02 0.03
1962 11 30 0.02 0
1962 12 7 -0.01 0
1962 12 14 -0.03 -0.04
1962 12 21 0.01 -0.04
1962 12 28 0.01 0
1963 1 4 0.03 0.05
1963 1 11 -0.01 -0.01
1963 1 18 -0.02 -0.02
1963 1 25 0.05 0.07
1963 2 1 -0.01 -0.01
1963 2 8 -0.05 -0.03
1963 2 15 0 0
1963 2 22 0.01 -0.02
1963 3 1 0.02 0.04
1963 3 8 -0.04 -0.01
1963 3 15 0.01 0
1963 3 22 0.05 0.01
1963 3 29 0.05 0.04
1963 4 5 -0.02 -0.01
1963 4 12 0.02 0.02
1963 4 19 0.04 0.06
1963 4 26 -0.01 0.02
1963 5 3 -0.02 -0.01
1963 5 10 -0.02 -0.01
1963 5 17 0 0
1963 5 24 0.03 0.01
1963 5 31 0.07 0.06
1963 6 7 0.04 0.04
1963 6 14 -0.05 -0.03
1963 6 21 0.01 0.01
1963 6 28 0 0
1963 7 5 0.1 0.07
1963 7 12 0.21 0.08
1963 7 19 0.05 0.02
1963 7 26 -0.04 0.01
1963 8 2 -0.02 -0.03
1963 8 9 0.01 -0.01
1963 8 16 0.03 0.02
1963 8 23 0.02 0
1963 8 30 0.03 0.02
1963 9 6 0 0.02
1963 9 13 -0.01 0
1963 9 20 0.01 0.02
1963 9 27 -0.02 -0.01
1963 10 4 0.03 0
1963 10 11 0.02 0.02
1963 10 18 0.03 0.02
1963 10 25 0.05 0.03
1963 11 1 -0.01 0.03
1963 11 8 0.07 0.04
1963 11 15 0.02 0
1963 11 22 -0.04 -0.02
1963 11 29 0 0
1963 12 6 0.05 0.03
1963 12 13 0.02 0.02
1963 12 20 0.03 0.05
1963 12 27 0.01 0.01
1964 1 3 0 0.01
1964 1 10 -0.03 0
1964 1 17 -0.02 -0.02
1964 1 24 -0.02 -0.02
1964 1 31 0.01 -0.01
1964 2 7 -0.04 -0.03
1964 2 14 0.01 0
1964 2 21 0.03 0.02
1964 2 28 0.08 0.04
